[I 2025-12-02 23:25:31,418] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 23:29:44,429] Trial 16 finished with value: 0.1720966890276014 and parameters: {'iterations': 900, 'learning_rate': 0.016282335027429103, 'depth': 3, 'l2_leaf_reg': 3.0037620948048698, 'border_count': 241, 'bagging_temperature': 0.9937499586881702, 'random_strength': 0.45345483764685546, 'scale_pos_weight': 5.835625658693253}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:30:00,386] Trial 17 finished with value: 0.17338671662183186 and parameters: {'iterations': 500, 'learning_rate': 0.004600098114785964, 'depth': 4, 'l2_leaf_reg': 5.207387950215476, 'border_count': 224, 'bagging_temperature': 0.6182788496750034, 'random_strength': 0.1568222577037574, 'scale_pos_weight': 5.653590632671349}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:30:15,946] Trial 18 finished with value: 0.17022208001091416 and parameters: {'iterations': 500, 'learning_rate': 0.0036606580333478043, 'depth': 4, 'l2_leaf_reg': 5.687511858721651, 'border_count': 225, 'bagging_temperature': 0.6254325601664038, 'random_strength': 0.18065614268282693, 'scale_pos_weight': 5.5747433497945424}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:30:26,231] Trial 19 finished with value: 0.16456708927844327 and parameters: {'iterations': 300, 'learning_rate': 0.004694670876044761, 'depth': 4, 'l2_leaf_reg': 7.326686230687908, 'border_count': 251, 'bagging_temperature': 0.706620403296048, 'random_strength': 0.005098902636135189, 'scale_pos_weight': 5.349418283600064}. Best is trial 8 with value: 0.17382700687647418.
[I 2025-12-02 23:30:42,330] Trial 20 finished with value: 0.17665131596118563 and parameters: {'iterations': 500, 'learning_rate': 0.012518736749978353, 'depth': 4, 'l2_leaf_reg': 9.973929518247289, 'border_count': 239, 'bagging_temperature': 0.7526631329130242, 'random_strength': 0.14652348184798852, 'scale_pos_weight': 5.167100106311062}. Best is trial 20 with value: 0.17665131596118563.
[I 2025-12-02 23:30:58,497] Trial 21 finished with value: 0.1761428424943702 and parameters: {'iterations': 500, 'learning_rate': 0.012014787953402214, 'depth': 4, 'l2_leaf_reg': 9.987187895919089, 'border_count': 240, 'bagging_temperature': 0.8483053565026393, 'random_strength': 0.16215908385840277, 'scale_pos_weight': 5.2079726790391465}. Best is trial 20 with value: 0.17665131596118563.
[I 2025-12-02 23:31:08,688] Trial 22 finished with value: 0.17733750605008575 and parameters: {'iterations': 300, 'learning_rate': 0.012015032148090823, 'depth': 4, 'l2_leaf_reg': 9.935112400284147, 'border_count': 241, 'bagging_temperature': 0.8459595808876504, 'random_strength': 0.17505442628214352, 'scale_pos_weight': 5.172216160465836}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:31:25,628] Trial 23 finished with value: 0.17586684750752896 and parameters: {'iterations': 500, 'learning_rate': 0.011645676396428403, 'depth': 4, 'l2_leaf_reg': 9.901445470712948, 'border_count': 255, 'bagging_temperature': 0.8260275227662374, 'random_strength': 0.1292253540498431, 'scale_pos_weight': 5.161703629009384}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:31:46,765] Trial 24 finished with value: 0.17394923576917318 and parameters: {'iterations': 700, 'learning_rate': 0.016698931286099356, 'depth': 4, 'l2_leaf_reg': 9.48015605753402, 'border_count': 237, 'bagging_temperature': 0.9934958545197344, 'random_strength': 0.3808461568727741, 'scale_pos_weight': 5.156188164557353}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:31:54,063] Trial 25 finished with value: 0.17021205873690542 and parameters: {'iterations': 200, 'learning_rate': 0.009126537088471658, 'depth': 4, 'l2_leaf_reg': 7.726376850155138, 'border_count': 236, 'bagging_temperature': 0.8434823792731596, 'random_strength': 0.20689115824267476, 'scale_pos_weight': 5.169644589034332}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:32:06,680] Trial 26 finished with value: 0.1711300913858704 and parameters: {'iterations': 400, 'learning_rate': 0.012327145548194663, 'depth': 4, 'l2_leaf_reg': 9.362129417764887, 'border_count': 202, 'bagging_temperature': 0.7531931259756396, 'random_strength': 0.6007232679376885, 'scale_pos_weight': 5.008594883799153}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:32:25,870] Trial 27 finished with value: 0.16892852827130164 and parameters: {'iterations': 600, 'learning_rate': 0.009587830372994951, 'depth': 4, 'l2_leaf_reg': 7.596022312968591, 'border_count': 243, 'bagging_temperature': 0.9001366184787823, 'random_strength': 0.007664662379884446, 'scale_pos_weight': 5.284210828280883}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:32:33,104] Trial 28 finished with value: 0.1676691675732248 and parameters: {'iterations': 200, 'learning_rate': 0.012664397259367648, 'depth': 4, 'l2_leaf_reg': 9.454612058261477, 'border_count': 232, 'bagging_temperature': 0.9149839597519934, 'random_strength': 0.35468188374485626, 'scale_pos_weight': 5.211654100817913}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:32:53,785] Trial 29 finished with value: 0.17514602253784278 and parameters: {'iterations': 700, 'learning_rate': 0.015251047671664672, 'depth': 4, 'l2_leaf_reg': 9.141352704305383, 'border_count': 218, 'bagging_temperature': 0.7728231029388031, 'random_strength': 0.11001758830416151, 'scale_pos_weight': 5.059851322739199}. Best is trial 22 with value: 0.17733750605008575.
[I 2025-12-02 23:33:00,514] A new study created in memory with name: catboost_fold_2
[I 2025-12-02 23:33:22,429] Trial 0 finished with value: 0.16466161710223665 and parameters: {'iterations': 900, 'learning_rate': 0.01107120477561431, 'depth': 3, 'l2_leaf_reg': 8.800816070956152, 'border_count': 235, 'bagging_temperature': 0.30680731126833216, 'random_strength': 0.4151404484547415, 'scale_pos_weight': 5.8345071820456615}. Best is trial 0 with value: 0.16466161710223665.
