[I 2025-12-05 00:29:52,335] A new study created in memory with name: svc_fold_1
[I 2025-12-05 00:36:59,243] Trial 3 finished with value: 0.05059000453843192 and parameters: {'kernel': 'poly', 'C': 80.74962667771442}. Best is trial 0 with value: 0.06941064150237676.
[I 2025-12-05 00:37:14,608] Trial 4 finished with value: 0.09480086227753952 and parameters: {'kernel': 'sigmoid', 'C': 96.47073950414348}. Best is trial 4 with value: 0.09480086227753952.
[I 2025-12-05 00:37:22,586] Trial 5 finished with value: 0.06948762288332754 and parameters: {'kernel': 'linear', 'C': 81.1839574293739}. Best is trial 4 with value: 0.09480086227753952.
[I 2025-12-05 00:37:36,143] Trial 6 finished with value: 0.09480694548333146 and parameters: {'kernel': 'sigmoid', 'C': 70.04338575191743}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:37:48,692] Trial 7 finished with value: 0.05828253360179399 and parameters: {'kernel': 'rbf', 'C': 86.49416990040585}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:02,589] Trial 8 finished with value: 0.05798213618129636 and parameters: {'kernel': 'rbf', 'C': 94.38380136706196}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:15,259] Trial 9 finished with value: 0.05486776550858904 and parameters: {'kernel': 'rbf', 'C': 85.73609804112867}. Best is trial 6 with value: 0.09480694548333146.
[I 2025-12-05 00:38:30,213] Trial 10 finished with value: 0.09482562626097849 and parameters: {'kernel': 'sigmoid', 'C': 70.54191152632164}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:38:44,913] Trial 11 finished with value: 0.09470509391040732 and parameters: {'kernel': 'sigmoid', 'C': 70.61560346702387}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:01,003] Trial 12 finished with value: 0.09471484351114312 and parameters: {'kernel': 'sigmoid', 'C': 75.93384055191979}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:17,143] Trial 13 finished with value: 0.09480674708675246 and parameters: {'kernel': 'sigmoid', 'C': 70.10729854049673}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:33,201] Trial 14 finished with value: 0.09478213603777234 and parameters: {'kernel': 'sigmoid', 'C': 75.56600166769941}. Best is trial 10 with value: 0.09482562626097849.
[I 2025-12-05 00:39:48,904] Trial 15 finished with value: 0.09499217525704318 and parameters: {'kernel': 'sigmoid', 'C': 90.5212046033361}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:40:03,714] Trial 16 finished with value: 0.09481866861025924 and parameters: {'kernel': 'sigmoid', 'C': 89.82026364238158}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:40:19,067] Trial 17 finished with value: 0.09486951311828866 and parameters: {'kernel': 'sigmoid', 'C': 91.48047678703715}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:40:26,677] Trial 18 finished with value: 0.07021188157933587 and parameters: {'kernel': 'linear', 'C': 91.4087383350779}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:40:40,813] Trial 19 finished with value: 0.09488957616432817 and parameters: {'kernel': 'sigmoid', 'C': 98.43317599332872}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:40:54,049] Trial 20 finished with value: 0.09474268058370947 and parameters: {'kernel': 'sigmoid', 'C': 99.93663306435995}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:41:09,857] Trial 21 finished with value: 0.09475105370928438 and parameters: {'kernel': 'sigmoid', 'C': 99.85848280216914}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:41:24,912] Trial 22 finished with value: 0.09490501389670475 and parameters: {'kernel': 'sigmoid', 'C': 90.89752990630505}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:41:37,243] Trial 23 finished with value: 0.09479551797206505 and parameters: {'kernel': 'sigmoid', 'C': 95.4968234836761}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:41:50,254] Trial 24 finished with value: 0.09485480416160808 and parameters: {'kernel': 'sigmoid', 'C': 88.16173765805489}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:03,612] Trial 25 finished with value: 0.09486645491996808 and parameters: {'kernel': 'sigmoid', 'C': 93.41940270151542}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:11,785] Trial 26 finished with value: 0.05887886880214056 and parameters: {'kernel': 'poly', 'C': 83.44267161320651}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:17,707] Trial 27 finished with value: 0.06768447864516555 and parameters: {'kernel': 'linear', 'C': 97.27522506693677}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:31,015] Trial 28 finished with value: 0.05852392627636512 and parameters: {'kernel': 'rbf', 'C': 90.82911653550643}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:38,229] Trial 29 finished with value: 0.06850796246497005 and parameters: {'kernel': 'linear', 'C': 88.60321456774723}. Best is trial 15 with value: 0.09499217525704318.
[I 2025-12-05 00:42:43,488] A new study created in memory with name: svc_fold_3
[I 2025-12-05 00:42:56,890] Trial 0 finished with value: 0.05155310348332966 and parameters: {'kernel': 'rbf', 'C': 86.96794920246464}. Best is trial 0 with value: 0.05155310348332966.
[I 2025-12-05 00:43:11,463] Trial 1 finished with value: 0.05712588393459946 and parameters: {'kernel': 'rbf', 'C': 94.23361096863482}. Best is trial 1 with value: 0.05712588393459946.
[I 2025-12-05 00:43:20,195] Trial 2 finished with value: 0.061404186595701835 and parameters: {'kernel': 'poly', 'C': 85.61792294564955}. Best is trial 2 with value: 0.061404186595701835.
[I 2025-12-05 00:43:33,351] Trial 3 finished with value: 0.05618717259338126 and parameters: {'kernel': 'rbf', 'C': 90.00323772118354}. Best is trial 2 with value: 0.061404186595701835.
