[I 2025-12-03 02:22:28,674] Trial 23 finished with value: 0.3469255901352103 and parameters: {'max_depth': 11, 'min_samples_split': 20, 'min_samples_leaf': 3, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:30,562] Trial 24 finished with value: 0.3510330547873302 and parameters: {'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 9, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:31,635] Trial 25 finished with value: 0.34881433434492143 and parameters: {'max_depth': 2, 'min_samples_split': 15, 'min_samples_leaf': 10, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:32,483] Trial 26 finished with value: 0.3478477941852628 and parameters: {'max_depth': 10, 'min_samples_split': 19, 'min_samples_leaf': 12, 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:34,838] Trial 27 finished with value: 0.3426128933187991 and parameters: {'max_depth': 14, 'min_samples_split': 13, 'min_samples_leaf': 7, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:35,527] Trial 28 finished with value: 0.3486588994086438 and parameters: {'max_depth': 4, 'min_samples_split': 18, 'min_samples_leaf': 9, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:36,211] Trial 29 finished with value: 0.3434793782496959 and parameters: {'max_depth': 13, 'min_samples_split': 16, 'min_samples_leaf': 5, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.3514198320857089.
[I 2025-12-03 02:22:38,578] A new study created in memory with name: decision_tree_fold_2
[I 2025-12-03 02:22:38,972] Trial 0 finished with value: 0.34396692680176116 and parameters: {'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 3, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.34396692680176116.
[I 2025-12-03 02:22:40,261] Trial 1 finished with value: 0.34190801619906186 and parameters: {'max_depth': 31, 'min_samples_split': 10, 'min_samples_leaf': 11, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.34396692680176116.
[I 2025-12-03 02:22:41,255] Trial 2 finished with value: 0.3411371185753806 and parameters: {'max_depth': 22, 'min_samples_split': 4, 'min_samples_leaf': 11, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 0 with value: 0.34396692680176116.
[I 2025-12-03 02:22:42,209] Trial 3 finished with value: 0.343637138553292 and parameters: {'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 4, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 0 with value: 0.34396692680176116.
[I 2025-12-03 02:22:44,206] Trial 4 finished with value: 0.3505995606009868 and parameters: {'max_depth': 7, 'min_samples_split': 12, 'min_samples_leaf': 8, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:46,776] Trial 5 finished with value: 0.3387829361314161 and parameters: {'max_depth': 27, 'min_samples_split': 19, 'min_samples_leaf': 5, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:47,708] Trial 6 finished with value: 0.34167815018435826 and parameters: {'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 10, 'criterion': 'entropy', 'max_features': None, 'splitter': 'random'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:48,630] Trial 7 finished with value: 0.3424300900554742 and parameters: {'max_depth': 31, 'min_samples_split': 18, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:49,419] Trial 8 finished with value: 0.34892528937152767 and parameters: {'max_depth': 21, 'min_samples_split': 10, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:50,331] Trial 9 finished with value: 0.34418915045469983 and parameters: {'max_depth': 27, 'min_samples_split': 2, 'min_samples_leaf': 11, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:51,276] Trial 10 finished with value: 0.346333242777242 and parameters: {'max_depth': 11, 'min_samples_split': 14, 'min_samples_leaf': 7, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:52,242] Trial 11 finished with value: 0.34566561248499694 and parameters: {'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:53,247] Trial 12 finished with value: 0.34982506247932715 and parameters: {'max_depth': 8, 'min_samples_split': 12, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:54,258] Trial 13 finished with value: 0.34506514243179937 and parameters: {'max_depth': 2, 'min_samples_split': 13, 'min_samples_leaf': 14, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:55,206] Trial 14 finished with value: 0.3463177719209408 and parameters: {'max_depth': 7, 'min_samples_split': 7, 'min_samples_leaf': 1, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:56,186] Trial 15 finished with value: 0.34170436531068643 and parameters: {'max_depth': 13, 'min_samples_split': 13, 'min_samples_leaf': 8, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 4 with value: 0.3505995606009868.
[I 2025-12-03 02:22:57,142] Trial 16 finished with value: 0.35321100889602847 and parameters: {'max_depth': 7, 'min_samples_split': 16, 'min_samples_leaf': 14, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 16 with value: 0.35321100889602847.
[I 2025-12-03 02:22:58,782] Trial 17 finished with value: 0.35341419228278437 and parameters: {'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 14, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:22:59,644] Trial 18 finished with value: 0.3496710604665076 and parameters: {'max_depth': 4, 'min_samples_split': 16, 'min_samples_leaf': 14, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:00,642] Trial 19 finished with value: 0.34408454285174916 and parameters: {'max_depth': 17, 'min_samples_split': 20, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:01,774] Trial 20 finished with value: 0.3524349946684413 and parameters: {'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 13, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:03,027] Trial 21 finished with value: 0.3485879785647322 and parameters: {'max_depth': 5, 'min_samples_split': 16, 'min_samples_leaf': 13, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:04,042] Trial 22 finished with value: 0.3484779322548949 and parameters: {'max_depth': 11, 'min_samples_split': 17, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:04,979] Trial 23 finished with value: 0.3499247256896949 and parameters: {'max_depth': 11, 'min_samples_split': 15, 'min_samples_leaf': 13, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:05,870] Trial 24 finished with value: 0.35146969982748943 and parameters: {'max_depth': 5, 'min_samples_split': 18, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:07,373] Trial 25 finished with value: 0.35304796161216706 and parameters: {'max_depth': 4, 'min_samples_split': 20, 'min_samples_leaf': 13, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:08,793] Trial 26 finished with value: 0.3509361560207801 and parameters: {'max_depth': 3, 'min_samples_split': 20, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:10,736] Trial 27 finished with value: 0.3524042148497169 and parameters: {'max_depth': 8, 'min_samples_split': 19, 'min_samples_leaf': 9, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:12,999] Trial 28 finished with value: 0.34486539124353843 and parameters: {'max_depth': 13, 'min_samples_split': 18, 'min_samples_leaf': 12, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:13,801] Trial 29 finished with value: 0.34207115875604177 and parameters: {'max_depth': 2, 'min_samples_split': 15, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}. Best is trial 17 with value: 0.35341419228278437.
[I 2025-12-03 02:23:15,575] A new study created in memory with name: decision_tree_fold_3
[I 2025-12-03 02:23:17,605] Trial 0 finished with value: 0.3418300923918325 and parameters: {'max_depth': 19, 'min_samples_split': 13, 'min_samples_leaf': 18, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 0 with value: 0.3418300923918325.
[I 2025-12-03 02:23:18,452] Trial 1 finished with value: 0.35004924643838375 and parameters: {'max_depth': 20, 'min_samples_split': 8, 'min_samples_leaf': 13, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:21,174] Trial 2 finished with value: 0.3404184809219236 and parameters: {'max_depth': 30, 'min_samples_split': 14, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:22,188] Trial 3 finished with value: 0.33988417308127017 and parameters: {'max_depth': 23, 'min_samples_split': 11, 'min_samples_leaf': 14, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:23,152] Trial 4 finished with value: 0.349949536267988 and parameters: {'max_depth': 13, 'min_samples_split': 4, 'min_samples_leaf': 12, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:23,300] Trial 5 finished with value: 0.3431524535856407 and parameters: {'max_depth': 11, 'min_samples_split': 5, 'min_samples_leaf': 10, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:24,044] Trial 6 finished with value: 0.34758522265654546 and parameters: {'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 4, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:25,402] Trial 7 finished with value: 0.34050218460828535 and parameters: {'max_depth': 21, 'min_samples_split': 11, 'min_samples_leaf': 10, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:26,521] Trial 8 finished with value: 0.3422514381539389 and parameters: {'max_depth': 32, 'min_samples_split': 13, 'min_samples_leaf': 16, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:27,474] Trial 9 finished with value: 0.3397226481926814 and parameters: {'max_depth': 24, 'min_samples_split': 3, 'min_samples_leaf': 10, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:28,294] Trial 10 finished with value: 0.34267877861033436 and parameters: {'max_depth': 2, 'min_samples_split': 7, 'min_samples_leaf': 5, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:29,301] Trial 11 finished with value: 0.34732683920183327 and parameters: {'max_depth': 13, 'min_samples_split': 7, 'min_samples_leaf': 13, 'criterion': 'gini', 'max_features': None, 'splitter': 'random'}. Best is trial 1 with value: 0.35004924643838375.
[I 2025-12-03 02:23:30,253] Trial 12 finished with value: 0.35359980828208143 and parameters: {'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:31,079] Trial 13 finished with value: 0.3449956777037956 and parameters: {'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 20, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:32,121] Trial 14 finished with value: 0.3474934895653975 and parameters: {'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:33,038] Trial 15 finished with value: 0.3435980377624476 and parameters: {'max_depth': 26, 'min_samples_split': 19, 'min_samples_leaf': 6, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:34,063] Trial 16 finished with value: 0.3379503554648949 and parameters: {'max_depth': 17, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:34,844] Trial 17 finished with value: 0.34254767967203875 and parameters: {'max_depth': 9, 'min_samples_split': 16, 'min_samples_leaf': 8, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
[I 2025-12-03 02:23:35,765] Trial 18 finished with value: 0.34539764140994555 and parameters: {'max_depth': 27, 'min_samples_split': 5, 'min_samples_leaf': 15, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 12 with value: 0.35359980828208143.
