[I 2025-12-03 21:56:58,558] Trial 26 finished with value: 0.09727279637266603 and parameters: {'n_neighbors': 15, 'weights': 'uniform', 'algorithm': 'ball_tree', 'p': 2, 'leaf_size': 29}. Best is trial 11 with value: 0.1213972350746052.
[I 2025-12-03 21:56:58,786] Trial 27 finished with value: 0.12145592965043898 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 31}. Best is trial 27 with value: 0.12145592965043898.
[I 2025-12-03 21:56:58,985] Trial 28 finished with value: 0.11833936895501543 and parameters: {'n_neighbors': 17, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 39}. Best is trial 27 with value: 0.12145592965043898.
[I 2025-12-03 21:56:59,422] Trial 29 finished with value: 0.09954355004682447 and parameters: {'n_neighbors': 19, 'weights': 'distance', 'algorithm': 'auto', 'p': 1, 'leaf_size': 35}. Best is trial 27 with value: 0.12145592965043898.
[I 2025-12-03 21:57:00,402] A new study created in memory with name: k_nearest_neighbors_fold_2
[I 2025-12-03 21:57:04,650] Trial 0 finished with value: 0.09998619792752342 and parameters: {'n_neighbors': 17, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 20}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:04,847] Trial 1 finished with value: 0.09699866545041312 and parameters: {'n_neighbors': 16, 'weights': 'uniform', 'algorithm': 'auto', 'p': 2, 'leaf_size': 27}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:08,233] Trial 2 finished with value: 0.07624769402549944 and parameters: {'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 2, 'leaf_size': 37}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:11,782] Trial 3 finished with value: 0.0871810345926097 and parameters: {'n_neighbors': 18, 'weights': 'uniform', 'algorithm': 'kd_tree', 'p': 1, 'leaf_size': 37}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:12,198] Trial 4 finished with value: 0.08294531016376845 and parameters: {'n_neighbors': 13, 'weights': 'uniform', 'algorithm': 'brute', 'p': 1, 'leaf_size': 27}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:12,609] Trial 5 finished with value: 0.07309324582710555 and parameters: {'n_neighbors': 5, 'weights': 'uniform', 'algorithm': 'brute', 'p': 1, 'leaf_size': 32}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:13,031] Trial 6 finished with value: 0.09312645449374546 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'algorithm': 'auto', 'p': 1, 'leaf_size': 39}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:13,213] Trial 7 finished with value: 0.08269316709979252 and parameters: {'n_neighbors': 7, 'weights': 'uniform', 'algorithm': 'auto', 'p': 2, 'leaf_size': 31}. Best is trial 0 with value: 0.09998619792752342.
[I 2025-12-03 21:57:13,566] Trial 8 finished with value: 0.10088645695242975 and parameters: {'n_neighbors': 18, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 24}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:13,756] Trial 9 finished with value: 0.09775828821188268 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'algorithm': 'auto', 'p': 2, 'leaf_size': 38}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:16,949] Trial 10 finished with value: 0.10019001120039675 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 20}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:20,126] Trial 11 finished with value: 0.10019001120039675 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 20}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:23,263] Trial 12 finished with value: 0.10019001120039675 and parameters: {'n_neighbors': 20, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 24}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:26,536] Trial 13 finished with value: 0.05678178804425621 and parameters: {'n_neighbors': 1, 'weights': 'distance', 'algorithm': 'ball_tree', 'p': 1, 'leaf_size': 23}. Best is trial 8 with value: 0.10088645695242975.
[I 2025-12-03 21:57:26,973] Trial 14 finished with value: 0.09698156605046643 and parameters: {'n_neighbors': 14, 'weights': 'distance', 'algorithm': 'brute', 'p': 1, 'leaf_size': 24}. Best is trial 8 with value: 0.10088645695242975.
