	CNA: BLCA	CNA: BRCA	CNA: CESC	CNA: COAD	CNA: ESCA	CNA: HNSC	CNA: KIRC	CNA: KIRP	CNA: LIHC	CNA: LUAD	CNA: LUSC	CNA: PRAD	CNA: READ	CNA: STAD	CNA: THCA	CNA: UCEC	GE: BLCA	GE: BRCA	GE: CESC	GE: COAD	GE: ESCA	GE: HNSC	GE: KIRC	GE: KIRP	GE: LIHC	GE: LUAD	GE: LUSC	GE: PRAD	GE: READ	GE: STAD	GE: THCA	GE: UCEC	METH: BLCA	METH: BRCA	METH: CESC	METH: COAD	METH: ESCA	METH: HNSC	METH: KIRC	METH: KIRP	METH: LIHC	METH: LUAD	METH: LUSC	METH: PRAD	METH: READ	METH: STAD	METH: THCA	METH: UCEC	MF: BLCA	MF: BRCA	MF: CESC	MF: COAD	MF: ESCA	MF: HNSC	MF: KIRC	MF: KIRP	MF: LIHC	MF: LUAD	MF: LUSC	MF: PRAD	MF: READ	MF: STAD	MF: THCA	MF: UCEC
ABCB1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3033033033033033	0.0	0.0	0.0105263157894736	0.0	0.2522179559209767	0.2725042154217634	0.4158614284341815	0.1327389793171565	0.0874580197804353	0.094737307546422	0.1099884559230677	0.0120530757616291	0.0078377788570683	0.1491677666536793	0.2137876013865688	0.0139512232940744	0.1031572747594646	0.0231520430569624	0.0220883645451451	0.3886316215386581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0354724200678623	0.0052933080267374	0.0810805810536988	0.0262589125288263	0.0	0.0215949894857563	0.0384011069527311	0.0407314014150312	0.0744222271311162	0.1206730591442131	0.1069279325211878	0.1136442025142541	0.0	0.1153779781712224	0.0	0.0336829350794735
ABCB11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.214435379831809	0.3351416701443666	0.1472476688349847	0.0	0.2050313283250152	0.1832244872585457	0.0	0.0	0.1376957900524638	0.1398590007330106	0.1218857273460052	0.286289096128614	0.0	0.0862750419001579	0.0	0.0	0.1649368143270116	0.0532949264008648	0.0764690069573039	0.121775247543583	0.2189004105639789	0.2305756338522754	0.2079811484732555	0.0033553370505385	0.1189565268019454	0.1260161816701533	0.0676646027679406	0.1058449141620055	0.1795947165053403	0.1700169651607361	0.0141393747983752	0.1746489408383312	0.0305440106185578	0.0158756535174369	0.0278010025324194	0.0163121141260744	0.0270294274473295	0.0164279793815547	0.0	0.0409195360691255	0.0250298211486151	0.0610265897043837	0.0547214169978036	0.0	0.0	0.03884797903084	0.0108091260496763	0.0193489331342358
ABCB4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3435374149659864	0.0	0.0	0.0111111111111111	0.0	0.1612801737372255	0.0188404155165805	0.0776042247401614	0.03774987010392	0.0628960782876345	0.0822242523539302	0.1251635487063213	0.0871162403707127	0.0905420375654297	0.118088992670418	0.0022019719006166	0.0365465703071984	0.0328995573994033	0.012489631005782	0.0375711105526308	0.0284973714204245	0.1820526329822432	0.2773350536119945	0.3612701957469862	0.1026384298751465	0.1053875968583882	0.2730724194917942	0.1213297255287888	0.24309251482557	0.0292161723996686	0.263608607842859	0.0268377938500995	0.3584666407352366	0.0039115562536609	0.2810151045275103	0.0500662619222648	0.0328233851291135	0.0610452361581316	0.0157806553128092	0.0534757169428425	0.0212282355671935	0.0	0.0271149844707649	0.0128096095645071	0.0407589534690749	0.0	0.0803831099691055	0.0545064959849047	0.0227208500241264	0.0561342411531731	0.0503248664822183	0.0	0.0185917509025745
ABCB7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0421052631578947	0.0	0.0430508849935168	0.0379243024259699	0.0188202886371011	0.0088724390493466	0.0271829048554602	0.030281551912509	0.0078304861844038	0.0219048339362083	0.0110308669446059	0.0051747339769888	0.0032066810138437	0.0051095980237289	0.001466882529207	0.0003676519194732	0.0039575686088345	0.0353690510394313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0358974269903885	0.0260984887682319	0.0280540271956788	0.0	0.0	0.0	0.0	0.0	0.0	0.0598111378349628	0.0548827119221375	0.0227012268520931	0.0	0.0120741323220099	0.0	0.0112091029997815
ABCC2	0.0	0.0	0.0	0.3168604651162791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3116883116883117	0.0	0.1263157894736842	0.0	0.2021394450267171	0.143113887593712	0.0518282078714546	0.136277171129918	0.0402245602524571	0.0562155361349612	0.0469028091871453	0.2254023113721723	0.0272944477812522	0.0532244876675283	0.0329978649209401	0.0316785403085334	0.1226959206153349	0.0582995957060689	0.1192256401826348	0.1126400399140871	0.3161032439781488	0.199885364600461	0.196107705246778	0.373088285246323	0.2912392121188095	0.0737309486694261	0.3653397508044042	0.10882195765486	0.2173495397499446	0.1428889391555114	0.2331742024427489	0.0203604986194833	0.4521974727020784	0.4504190950765513	0.0069772005084474	0.1350201622100386	0.0361864933612527	0.0158652633347429	0.0	0.0052542988618492	0.0	0.0272217247775775	0.0	0.0817300938558429	0.0748055496949138	0.0196982747522545	0.0538378878134154	0.0	0.0564490041078099	0.0513958065402666	0.0072064866843033	0.0228309255018659
ABCC6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053888015183971	0.1630852472861516	0.0047698068912369	0.0616019885801383	0.1259785796925235	0.0480645879053279	0.0140511366117428	0.0418654556297944	0.0071350504746086	0.0746389877821086	0.2889675170650169	0.1812202805339706	0.0202733346930961	0.0122024358373849	0.0419470496368082	0.0837972642262075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0596752037373492	0.0053017200919676	0.0278484614254125	0.0053341172258977	0.0	0.0162468041407119	0.0	0.0817240778749488	0.0744762537869162	0.0204314357441948	0.0	0.0227366198444047	0.0	0.0130089476332748	0.0	0.0300200160662137
ABCC8	0.0	0.0	0.4493392070484583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5476437917401766	0.01846629434589	0.509541663580694	0.1954689859788234	0.5716353815819357	0.0	0.082735010492529	0.1245320372045288	0.0031186139795886	0.1788784314358888	0.2174281853992346	0.1062396337320828	0.1936767129380352	0.179602466829542	0.2144551312279735	0.4195332270959982	0.1832398590915482	0.2373494112542616	0.5173801071725898	0.3231434673249807	0.2962013582211694	0.3408317162324801	0.1802791319054648	0.125120299686639	0.1292950164818868	0.3152396102885643	0.1070439998553112	0.2353009980370312	0.1818325131175622	0.0283592019461481	0.0389145172184766	0.1670403684347505	0.0	0.0052842731515462	0.0	0.0106674911853814	0.0257406245994715	0.0408991102601015	0.0126560116087981	0.0	0.074032542020437	0.0981828743389185	0.0	0.0	0.0278149652114775	0.0481411107657827	0.0	0.0073882708167521
ABCC9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1298701298701299	0.0	0.0	0.0	0.2876487963117161	0.2527224411396453	0.5386892795853323	0.0563364935424925	0.0716003794731381	0.0083459790319213	0.0065799225294872	0.096150285463266	0.1607379161801441	0.1855182669980787	0.2259538193307166	0.1487157297227804	0.1090115329483649	0.0362293746485954	0.113507871890648	0.5096686996737239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1069660214130394	0.0311216531651546	0.1089246337962791	0.0214249015459076	0.0535804407486372	0.0485391931784081	0.0127685888692859	0.040658578724113	0.0247575402470966	0.0589088946137758	0.0	0.0454139365510581	0.0559100466627045	0.1879050357889483	0.0107874032283413	0.0293353275771631
ABCD1	0.0	0.0	0.3303964757709251	0.0	0.4259259259259259	0.3787878787878788	0.0795698924731182	0.0	0.258160237388724	0.0	0.2577962577962578	0.0	0.2402597402597403	0.2577639751552795	0.0421052631578947	0.0	0.0173488573544543	0.037754435538409	0.0818403401752036	0.0134826877704305	0.0980287745926284	0.0935395457398706	0.0563886067403131	0.0325489598838779	0.1015629859668431	0.0174587787402509	0.0107910020145641	0.0506429485521757	0.0227313183039862	0.0238956256800505	0.0056499925338246	0.000406216415673	0.2447730890542113	0.1330889488474644	0.2645794443219393	0.0366689023673124	0.3220794683991969	0.1426223544046092	0.1028732473576163	0.0363364966922091	0.3465194585073094	0.0990787712526143	0.1366509353337799	0.0428321323664709	0.1063389570156641	0.5290672151998533	0.0893050830686984	0.1584966049758364	0.0	0.005295662267666	0.0555767503092911	0.0053181898309071	0.0	0.0054935666174249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0130269433942789	0.0108102912513673	0.0192719386701704
ABI1	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2391304347826087	0.0	0.0	0.0288268403530788	0.0214888121073978	0.0467255512744395	0.0215163918226448	0.0439071312135303	0.0226788612826433	0.008248162589546	0.0156202552690248	0.0474290842700977	0.0115980065814751	0.0254871798434752	0.0409090542374429	0.0125630092048872	0.0049944657374209	0.0103629509979584	0.000845909881079	0.0200106227246645	0.0083982205802565	0.0088811359543118	0.0021207097242501	0.0283713992835722	0.0118258127496919	0.007528257604145	0.0199897267627519	0.0030486336937258	0.0146868273824136	0.0166200701774862	0.0187211899214349	0.0003990640735337	0.0325852553997404	0.0048237636200619	0.017913362756558	0.0	0.0051355274501734	0.0267850880486928	0.0	0.0	0.0103817245744472	0.0	0.0	0.0243251229317197	0.0	0.0	0.0	0.0	0.0128206918300493	0.0	0.0218554491580659
