symbol	Oncogene	TSG
MLH1	No	No
MLH3	No	No
MLLT1	No	No
MLLT10	No	No
MLLT11	No	No
MLLT3	No	No
MLLT6	No	No
MMP2	No	No
MMP20	No	No
MMP9	No	No
MN1	No	No
MNX1	No	No
MOG	No	No
MOGS	No	No
MPDU1	No	No
MPDZ	No	No
MPEG1	No	No
MPI	No	No
MPLKIP	No	No
MPZ	No	No
MREG	No	No
MRPL49P2	No	No
MRPS16	No	No
MRPS22	No	No
MRTFA	No	No
MS4A1	No	No
MSH2	No	No
MSH3	No	No
MSH6	No	No
MSI2	No	No
MSLN	No	No
MSMB	No	No
MSN	No	No
MSR1	No	No
MST1	No	No
MSTN	No	No
MSX1	No	No
MSX2	No	No
MTCP1	No	No
MTHFD1	No	No
MTHFR	No	No
MTM1	No	No
MTMR14	No	No
MTMR2	No	No
MTNR1B	No	No
MTR	No	No
MTRR	No	No
MTTP	No	No
MTUS1	No	No
MUC1	No	No
MUC16	Yes	No
MUC4	Yes	No
MUC6	No	No
MUC7	No	No
MUSK	No	No
MUTYH	No	No
MVK	No	No
MXI1	No	No
MYBPC3	No	No
MYC	No	No
MYCN	No	No
MYF6	No	No
MYH11	No	No
MYH2	No	No
MYH6	No	No
MYH7	No	No
MYH8	No	No
MYH9	No	No
MYL2	No	No
MYL3	No	No
MYLK	No	No
MYLK2	No	No
MYO18A	No	No
MYO1E	No	No
MYO6	No	No
MYO7A	No	No
MYO9B	No	No
MYOC	No	No
MYOT	No	No
MYOZ2	No	No
N4BP2	No	Yes
NACA	No	No
NAGA	No	No
NAGLU	No	No
NAV3	No	No
NBEA	No	No
NBEAL2	No	No
NBEAP1	No	No
NBN	No	No
NCF1	No	No
NCF2	No	No
NCF4	No	No
NCKIPSD	No	No
NCOA1	No	No
NCOA2	No	No
NCOA4	No	No
NCOR2	No	No
NCSTN	No	No
ND1	No	No
ND2	No	No
ND3	No	No
ND4	No	No
ND4L	No	No
ND5	No	No
ND6	No	No
NDE1	No	No
NDRG1	No	No
NDUFA13	No	No
NDUFS7	No	No
NDUFS8	No	No
NDUFV1	No	No
NEB	No	No
NECTIN1	No	No
NEFH	No	No
NEFL	No	No
NEGR1	No	No
NEK1	No	No
NETO1	No	No
NEU1	No	No
NEUROD1	No	No
NEUROG3	No	No
NEXN	No	No
NF1	No	No
NF2	No	No
NFIB	No	No
NFKB2	No	No
NFKBIA	No	No
NFKBIE	No	No
NFKBIL1	No	No
NGF	No	No
NHEJ1	No	No
NHLRC1	No	No
NHP2	No	No
NIN	No	No
NIPA1	No	No
NIPBL	No	No
NKAIN2	No	No
NKX2-1	No	No
NKX2-3	No	No
NKX2-5	No	No
NKX2-6	No	No
NLGN4X	No	No
NLRP1	No	No
NLRP12	No	No
NLRP3	No	No
NLRP7	No	No
NME8	No	No
NOBOX	No	No
NOD1	No	No
NOD2	No	No
NODAL	No	No
NOG	No	No
NONO	No	No
NOP10	No	No
NOP56	No	No
NOTCH1	No	No
NOTCH2	No	No
NOTCH3	No	No
NPC1	No	No
NPC2	No	No
NPHP1	No	No
NPHS1	No	No
NPHS2	No	No
NPM1	No	No
NPPA	No	No
NR0B1	No	No
NR0B2	No	No
NR2E3	No	No
NR2F2	No	No
NR3C2	No	No
NR4A3	No	No
NR5A1	No	No
NRAD1	No	No
NRAS	No	No
NRIP1	No	No
NRL	No	No
NSD1	No	No
NSD2	No	No
NSD3	No	No
NSMF	No	No
NT5C3A	No	No
NTF4	No	No
NTHL1	No	Yes
NTRK1	No	No
NUMA1	No	No
NUP214	No	No
NUP62	No	No
NUP93	No	No
NUP98	No	No
NUTM1	No	No
NUTM2A	No	No
NUTM2B	No	No
NUTM2D	No	No
NXF5	No	No
NXPE1	No	No
NYX	No	No
OAT	No	No
OCA2	No	No
OCRL	No	No
OFD1	No	No
OGG1	No	No
OLIG1	No	No
OLIG2	No	No
OLIG3	No	No
OLR1	No	No
OMD	No	No
OPA1	No	No
OPA3	No	No
OPCML	No	No
OPHN1	No	No
OPN1LW	No	No
OPN1MW	No	No
OPN1MW2	No	No
OPN1SW	No	No
OPTN	No	No
OR7H2P	No	No
ORMDL3	No	No
OSBPL3	No	No
OSGIN2	No	No
OSMR	No	No
OSTM1	No	No
OTC	No	No
OTUD3	No	No
P3H1	No	No
PABPC1	Yes	Yes
PABPC1P9	No	No
PABPN1	No	No
PADI4	No	No
PAFAH1B1	No	No
PAFAH1B2	No	No
PAG1	No	No
PAH	No	No
PAK3	No	No
PALB2	No	No
PALLD	No	No
PANK2	No	No
PARD3B	No	No
PARK7	No	No
PARP2	No	No
PARP3	No	No
PASK	No	No
PATZ1	No	No
PAX2	No	No
PAX3	No	No
PAX4	No	No
PAX5	No	No
PAX6	No	No
PAX7	No	No
PAX8	No	No
PBRM1	No	No
PBX1	No	No
PC	No	No
PCARE	No	No
PCBD1	No	No
PCBP1	No	No
PCCA	No	No
PCCB	No	No
PCDH15	No	No
PCLO	No	No
PCM1	No	No
PCSK7	No	No
PCSK9	No	No
PDCD1	No	No
PDCD10	No	No
PDCD11	No	No
PDE4D	No	No
PDE4DIP	No	No
PDE6A	No	No
PDE6B	No	No
PDE6C	No	No
PDE6G	No	No
PDE6H	No	No
PDE8B	No	No
PDGFB	No	No
PDGFRA	No	No
PDGFRB	No	No
PDGFRL	No	No
PDHA1	No	No
PDHB	No	No
PDPK1	No	No
PDX1	No	No
PDYN	No	No
PDZD7	No	No
PEPD	No	No
PER1	No	No
PER2	No	No
PEX1	No	No
PEX10	No	No
PEX12	No	No
PEX13	No	No
PEX14	No	No
PEX16	No	No
PEX19	No	No
PEX2	No	No
PEX26	No	No
PEX3	No	No
PEX5	No	No
PEX6	No	No
PEX7	No	No
PFKM	No	No
PGAM2	No	No
PGM1	No	No
PHEX	No	No
PHF1	No	No
PHF23	No	No
PHF6	No	No
PHF8	No	No
PHKA1	No	No
PHKA2	No	No
PHKB	No	No
PHKG2	No	No
PHOX2B	No	No
PHYH	No	No
PICALM	No	No
PIGA	No	No
PIGV	No	No
PIK3C2G	No	No
PIK3C3	No	No
PIK3CA	No	No
PIK3R2	Yes	No
PIK3R3	No	No
PIKFYVE	No	No
PIM1	No	No
PINK1	No	No
PITPNM3	No	No
PITX1	No	No
PITX3	No	No
PKD1	No	No
PKD1L1	No	No
PKD2	No	No
PKDCC	No	No
PKHD1	No	No
PKP1	No	No
PKP2	No	No
PLA2G6	No	No
PLA2G7	No	No
PLAG1	No	No
PLCE1	No	No
PLEC	No	No
PLEKHG5	No	No
PLEKHM1	No	No
PLG	No	No
PLIN1	No	No
PLK2	No	No
PLN	No	No
PLOD1	No	No
PLOD2	No	No
PLP1	No	No
PML	No	No
PMM2	No	No
PMP22	No	No
PMS1	No	No
PMS2	No	No
PNKD	No	No
PNPLA2	No	No
PNPLA6	No	No
PNRC1	No	No
POF1B	No	No
POLG	No	Yes
POLG2	No	No
POLH	No	No
POLQ	No	No
POLR1C	No	No
POLR1D	No	No
POLR2A	No	No
POMC	No	No
POMGNT1	No	No
POMT1	No	No
POMT2	No	No
PON1	No	No
POR	No	No
PORCN	No	No
POU2AF1	No	No
POU3F4	No	No
POU5F1	No	No
POU6F2	No	No
PPARG	No	No
PPFIBP1	No	No
PPIB	No	No
PPOX	No	No
PPP1CB	No	No
PPP1R3A	No	No
PPP1R3B	No	No
PPP2R2B	No	No
PPP4R2	No	No
PPT1	No	No
PQBP1	No	No
PRCC	No	No
PRCD	No	No
PRDM1	No	No
PRDM14	No	No
PRDM16	No	No
PRDM2	No	Yes
PREX2	No	No
PRF1	No	No
PRICKLE1	No	No
PRICKLE2	No	No
PRKAG2	No	No
PRKAR1A	No	No
PRKCB	No	No
PRKCG	No	No
PRKCH	No	No
PRKD1	No	No
PRKG2	No	No
PRKN	No	No
PRKRA	No	No
PRNP	No	No
PROC	No	No
PROK2	No	No
PROKR2	No	No
PROM1	No	No
PROP1	No	No
PROS1	No	No
PROX1	No	No
PRPF3	No	No
PRPF31	No	No
PRPF40B	No	No
PRPF6	No	No
PRPF8	No	No
PRPH2	No	No
PRPS1	No	No
PRRT2	No	No
PRRX1	No	No
PRSS1	No	No
PRSS12	No	No
PRSS8	No	No
PRX	No	No
PRXL2B	No	No
PSAP	No	No
PSEN1	No	No
PSEN2	No	No
PSENEN	No	No
PSIP1	No	No
PSORS1C1	No	No
PSORS1C2	No	No
PSORS1C3	No	No
PTCH1	No	No
PTCH2	No	No
PTEN	No	No
PTF1A	No	No
PTGER4	No	No
PTH	No	No
PTH1R	No	No
PTK6	No	No
PTK7	No	No
PTP4A1	No	No
PTPN11	No	No
PTPN14	No	No
PTPN22	No	No
PTPN6	No	Yes
PTPRB	No	No
PTPRC	No	No
PTPRD	No	Yes
PTPRK	No	No
PTPRO	No	No
PUM1	No	No
PUS1	No	No
PUS10	No	No
PWWP2A	No	No
PYCR1	No	No
PYGL	No	No
PYGM	No	No
QDPR	No	No
QKI	No	No
RAB27A	No	No
RAB39B	No	No
RAB7A	No	No
RABEP1	No	No
RAD17	No	Yes
RAD21	No	No
RAD50	No	No
RAD51	Yes	No
RAD51B	No	No
RAD51C	No	No
RAD51D	No	No
RAD52	No	No
RAD54L	No	No
RAF1	No	No
RAG1	No	No
RAG2	No	No
RAI1	No	No
RALGDS	No	No
RALGPS2	No	No
RAP1B	Yes	No
RAP1GDS1	No	No
RAPSN	No	No
RARA	No	No
RASA1	No	No
RASGEF1A	No	No
RASGEF1B	No	No
RASGRP1	No	No
RAX2	No	No
RB1	No	No
RBM10	No	No
RBM15	No	No
RBM20	No	No
RCL1	No	No
RD3	No	No
RDH12	No	No
RECQL4	No	No
REEP1	No	No
RELN	No	No
REN	No	No
RERE	No	No
RET	No	No
RFT1	No	No
RFWD3	No	Yes
RFX5	No	No
RFXANK	No	No
RFXAP	No	No
RGPD3	No	No
RGR	No	No
RGS7	No	No
RHO	No	No
RHOH	No	No
RIMS1	No	No
RIPK2	No	No
RLBP1	No	No
RMI2	No	No
RNASEL	No	No
RNF139	No	No
RNF146	No	No
RNF186	No	No
RNF213	No	No
RNF217-AS1	No	No
RNF6	No	No
RNU7-2P	No	No
RNU7-31P	No	No
RNU7-34P	No	No
ROBO2	No	Yes
ROBO3	No	No
ROCK1	Yes	No
ROM1	No	No
ROR2	No	No
ROS1	No	No
RP1	No	No
RP2	No	No
RP9	No	No
RPE65	No	No
RPGR	No	No
RPGRIP1	No	No
RPL10	No	No
RPL11	No	No
RPL13AP14	No	No
RPL22	No	No
RPL23AP1	No	No
RPL23AP12	No	No
RPL23P4	No	No
RPL28P4	No	No
RPL30P9	No	No
RPL31P10	No	No
RPL31P13	No	No
RPL35A	No	No
RPL35AP15	No	No
RPL35P3	No	No
RPL37AP1	No	No
RPL39P28	No	No
RPL3P11	No	No
RPL3P2	No	No
RPL5	No	No
RPL6P5	No	No
RPN1	No	No
RPS10	No	No
RPS14P1	No	No
RPS17	No	No
RPS19	No	No
RPS20P32	No	No
RPS23P3	No	No
RPS24	No	No
RPS26	No	No
RPS3AP42	No	No
RPS3AP46	No	No
RPS6KA3	No	No
RPS7	No	No
RRAS2	No	No
RRM2B	No	No
RS1	No	No
RSPH4A	No	No
RSPH9	No	No
RSPO1	No	No
RSPO2	No	No
RSPO3	No	No
RTEL1	No	No
RUNX1	No	No
RUNX1T1	No	No
RUNX2	No	No
RUNX3	No	No
RXFP2	No	No
RXRA	No	No
RYR1	No	No
RYR2	No	No
S100A7	No	No
S1PR2	No	No
SAA1	No	No
SAA2	No	No
SAG	No	No
SALL1	No	No
SALL4	No	No
SAMD9	No	No
SAMD9L	No	No
SAR1B	No	No
SART3	No	No
SATB2	No	No
SBDS	No	No
SBF2	No	No
SCAPER	No	No
SCARB2	No	No
SCN1A	No	No
SCN1B	No	No
SCN2A	No	No
SCN3B	No	No
SCN4A	No	No
SCN4B	No	No
SCN5A	No	No
SCN9A	No	No
SCNN1A	No	No
SCNN1B	No	No
SCNN1G	No	No
SCO1	No	No
SCO2	No	No
SDC4	No	No
SDHA	No	No
SDHAF2	No	No
SDHB	No	No
SDHC	No	No
SDHD	No	No
SEC23B	No	No
SEC31A	No	No
SEC63	No	No
SELENON	No	No
SELP	No	No
SEMA3C	No	No
SEMA4A	No	No
SEPT5	No	No
SEPT6	No	No
SEPT9	No	No
SEPTIN11	No	No
SEPTIN5	No	No
SEPTIN6	No	No
SEPTIN9	No	No
SERP2	No	No
SERPINA1	No	No
SERPINB4	No	No
SERPINC1	No	No
SERPINE1	No	No
SERPINF1	No	No
SERPING1	No	No
SERPINH1	No	No
SETD1B	No	Yes
SETD3	No	No
SETD4	No	No
SETD5	No	No
SETD6	No	No
SETD7	No	No
SETDB1	Yes	No
SETX	No	No
SFPQ	No	No
SFRP4	No	No
SFTPA1	No	No
SFTPA2	No	No
SFTPB	No	No
SFTPC	No	No
SGCA	No	No
SGCB	No	No
SGCD	No	No
SGCE	No	No
SGCG	No	No
SGK1	Yes	No
SGSH	No	No
SH2B3	No	No
SH2D1A	No	No
SH3BP2	No	No
SH3GL1	No	No
SH3TC2	No	No
SHH	No	No
SHROOM4	No	No
SHTN1	No	No
SIAE	No	No
SIK1	No	No
SIL1	No	No
SIRPA	No	Yes
SIX1	No	No
SIX2	Yes	No
SIX3	No	No
SIX5	No	No
SIX6	No	No
SKI	Yes	No
SLC11A2	No	No
SLC12A1	No	No
SLC12A3	No	No
SLC12A6	No	No
SLC16A2	No	No
SLC17A5	No	No
SLC19A2	No	No
SLC19A3	No	No
SLC1A2	No	No
SLC1A3	No	No
SLC22A18	No	No
SLC22A4	No	No
SLC25A13	No	No
SLC25A4	No	No
SLC26A2	No	No
SLC26A3	No	No
SLC26A4	No	No
SLC29A3	No	No
SLC2A1	No	No
SLC2A2	No	No
SLC2A4	No	No
SLC2A9	No	No
SLC33A1	No	No
SLC34A1	No	No
SLC34A2	No	No
SLC34A3	No	No
SLC35A1	No	No
SLC35C1	No	No
SLC37A4	No	No
SLC3A1	No	No
SLC40A1	No	No
SLC44A3	No	No
SLC45A2	No	No
SLC45A3	No	No
SLC49A4	No	No
SLC4A1	No	No
SLC4A11	No	No
SLC4A4	No	No
SLC52A1	No	No
SLC52A3	No	No
SLC5A2	No	No
SLC5A5	No	No
SLC6A19	No	No
SLC6A2	No	No
SLC6A8	No	No
SLC7A9	No	No
SLC9A3	No	No
SLC9A6	No	No
SLIT2	No	No
SLITRK1	No	No
SLURP1	No	No
SMAD1	No	No
SMAD3	No	No
SMAD4	No	No
SMAD7	No	No
SMAD9	No	No
SMARCA4	No	No
SMARCB1	No	No
SMARCD1	No	Yes
SMC1A	No	Yes
SMC3	No	No
SMN1	No	No
SMN2	No	No
SMOC1	No	No
SMPD1	No	No
SMS	No	No
SMURF1	No	No
SNAI2	No	No
SNCA	No	No
SNCAIP	No	No
SND1	No	No
SNORA47	No	No
SNRNP200	No	No
SNTA1	No	No
SNX20	No	No
SNX29	No	No
SOCS2	No	No
SOD1	No	No
SOD2	No	No
SOS1	No	No
SOST	No	No
SOX10	No	No
SOX2	No	No
SOX21	No	Yes
SOX3	No	No
SOX9	No	No
SP110	No	No
SP7	No	No
SPANXN4	No	No
SPART	No	No
SPAST	No	No
SPATA7	No	No
SPECC1	No	No
SPG11	No	No
SPG21	No	No
SPG7	No	No
SPINK1	No	No
SPINK5	No	No
SPINT2	No	No
SPTA1	No	No
SPTB	No	No
SPTBN2	No	No
SPTLC1	No	No
SPTLC2	No	No
SQSTM1	No	No
SRD5A2	No	No
SRGAP3	No	No
SRPX2	No	No
SRSF2	No	No
SRSF3	No	No
SRY	No	No
SS18	No	No
SS18L1	No	No
SSBP2	No	No
SSX1	No	No
SSX2	No	No
SSX2B	No	No
SSX4	No	No
ST13P1	No	No
ST13P12	No	No
ST3GAL3	No	No
ST8SIA4	No	No
STAG1	No	Yes
STAR	No	No
STAT1	No	No
STAT2	No	No
STAT3	No	No
STAT4	No	No
STAT5B	No	No
STIL	No	No
STK10	No	No
STK11	No	No
STK40	No	No
STOX1	No	No
STRC	No	No
STRN	No	No
STS	No	No
STX11	No	No
STX16	No	No
STXBP2	No	No
SUB1	No	No
SUFU	No	No
SUGCT	No	No
SUMF1	No	No
SUMO2P1	No	No
SURF1	No	No
SUZ12	No	No
SYF2	No	No
SYNE1	No	No
SYNE2	No	No
SYNGAP1	No	No
SYP	No	No
SYT14	No	No
SZT2	No	No
TACO1	No	No
TAF1	No	No
TAF15	No	No
TAL1	No	No
TAL2	No	No
TAP1	No	No
TAP2	No	No
TARDBP	No	No
TAT	No	No
TAZ	No	No
TBC1D24	No	No
TBKBP1	No	No
TBL1XR1	No	No
TBP	No	No
TBX1	No	No
TBX20	No	No
TBX21	No	No
TBX22	No	No
TBX3	No	No
TBX4	No	No
TBXT	No	No
TCAP	No	No
TCEA1	No	No
TCF12	No	No
TCF3	No	No
TCF7L2	No	No
TCIRG1	No	No
TCL1A	No	No
TCOF1	No	No
TCTA	No	No
TDP1	No	No
TEC	Yes	No
TECR	No	No
TEK	No	No
TERC	No	No
TERT	No	No
TET1	No	No
TET2	No	No
TFAP2A	No	No
TFAP2B	No	No
TFE3	No	No
TFEB	No	No
TFG	No	No
TFPT	No	No
TFR2	No	No
TFRC	No	No
TG	No	No
TGFB1	No	No
TGFBI	No	No
TGFBR1	No	No
TGFBR2	No	No
TGIF1	No	No
TGM1	No	No
TGM6	No	No
TH	No	No
THAP1	No	No
THBD	No	No
THBS2	No	No
THPO	No	No
THRAP3	No	No
THRB	No	No
TIMP3	No	No
TINF2	No	No
TIPARP	No	No
TLE1	No	No
TLE2	No	No
TLE3	No	No
TLE4	No	No
TLL1	No	No
TLL2	No	No
TLR3	No	No
TLR4	No	No
TLR5	No	No
TLX1	No	No
TMC6	No	No
TMC8	No	No
TMEM106B	No	No
TMEM126A	No	No
TMEM127	No	No
TMEM167A	No	No
TMEM17	No	No
TMEM30A	No	No
TMEM43	No	No
TMEM67	No	No
TMPO	No	No
TMPRSS2	No	No
TMPRSS5	No	No
TMPRSS6	No	No
TMSB4X	Yes	No
TMSB4XP8	No	No
TNC	Yes	No
TNF	No	No
TNFAIP3	No	No
TNFRSF10B	No	No
TNFRSF11A	No	No
TNFRSF11B	No	No
TNFRSF13B	No	No
TNFRSF13C	No	No
TNFRSF14	No	No
TNFRSF17	No	No
TNFRSF1A	No	No
TNFRSF6B	No	No
TNFSF11	No	No
TNFSF15	No	No
TNFSF4	No	No
TNKS	No	No
TNNC1	No	No
TNNI3	No	No
TNNT1	No	No
TNNT2	No	No
TNRC18	No	No
TONSL	No	No
TOP1	No	No
TOPORS	No	No
TOR1A	No	No
TP53	No	No
TP53BP1	No	No
TP63	No	No
TPM1	No	No
TPM2	No	No
TPM3	No	No
TPM4	No	No
TPMT	No	No
TPP1	No	No
TPR	No	No
TRAF2	No	No
TRAF3IP2	No	No
TRAF7	No	No
TRAPPC2	No	No
TRAPPC9	No	No
TREM2	No	No
TREX1	No	No
TRIB1	No	No
TRIB2	No	No
TRIM24	No	No
TRIM27	No	No
TRIM32	No	No
TRIM33	No	No
TRIM37	No	No
TRIP11	No	No
TRPC6	No	No
TRPM6	No	No
TRPM7	No	No
TRPS1	No	No
TRPV4	No	No
TRRAP	No	No
TSC1	No	No
TSC2	No	No
TSHR	No	No
TSN	No	No
TSPAN7	No	No
TSPYL1	No	No
TTBK2	No	No
TTC21B	No	No
TTC8	No	No
TTL	No	No
TTN	No	No
TTPA	No	No
TTR	No	No
TUBA1A	No	No
TUBB2B	No	No
TULP1	No	No
TUSC3	No	No
TWIST1	No	No
TWIST2	No	No
TWNK	No	No
TYK2	No	No
TYMP	No	No
TYR	No	No
TYRO3	No	No
TYROBP	No	No
TYRP1	No	No
U2AF2	No	No
UBE2A	No	No
UBE3A	No	No
UBIAD1	No	No
UBQLN2	No	No
UCHL1	No	No
UCP3	No	No
UGT1A1	No	No
UGT1A4	No	No
UMOD	No	No
UNC119	No	No
UNC13D	No	No
UNC93B1	No	No
UNG	No	No
UPF1	No	No
UPF3B	No	No
UROD	No	No
UROS	No	No
USB1	No	No
USF1	No	No
USH1C	No	No
USH1G	No	No
USH2A	No	No
USP16	No	No
USP25	No	No
USP44	No	Yes
USP9X	No	No
USP9Y	No	No
UVRAG	No	No
VANGL1	No	No
VAPB	No	No
VAV1	No	No
VCL	No	No
VCP	No	No
VDR	No	No
VEGFA	No	No
VHL	No	No
VPS13A	No	No
VPS35	No	No
VRK1	No	No
VSX1	No	No
VSX2	No	No
VTCN1	No	No
VTI1A	No	No
VWF	No	No
WAS	No	No
WASF5P	No	No
WASHC5	No	No
WDCP	No	No
WDPCP	No	No
WDR11	No	No
WDR35	No	No
WDR36	No	No
WDR90	No	No
WFS1	No	No
WHRN	No	No
WNK1	No	No
WNK2	No	Yes
WNK4	No	No
WNT10A	No	No
WNT4	No	No
WNT5A	No	No
WNT7A	No	No
WRAP53	No	No
WRN	No	No
WSCD1	No	No
WT1	No	No
WWOX	No	No
XIAP	No	No
XK	No	No
XPA	No	No
XPC	No	No
XRCC3	No	No
YARS1	No	No
YPEL5	No	No
YWHAE	No	No
YY1AP1	No	No
ZBTB16	No	No
ZBTB40	No	No
ZCCHC8	No	No
ZDHHC15	No	No
ZDHHC2	No	No
ZDHHC9	No	No
ZEB1	Yes	No
ZFP57	No	No
ZFP90	No	No
ZFPM2	No	No
ZFYVE19	No	No
ZFYVE26	No	No
ZFYVE27	No	No
ZIC2	No	No
ZIC3	No	No
ZMYM2	No	No
ZMYM3	No	Yes
ZNF24	No	No
ZNF320	No	No
ZNF331	No	No
ZNF384	No	No
ZNF41	No	No
ZNF429	No	No
ZNF479	No	No
ZNF512	No	No
ZNF513	No	No
ZNF521	No	No
ZNF592	No	No
ZNF644	No	No
ZNF674	No	No
ZNF703	No	No
ZNF711	No	No
ZNF81	No	No
ZNRD1ASP	No	No
ZNRF3	No	Yes
ZPBP2	No	No
ZPR1	No	No
ZRSR2	No	No
