symbol	Oncogene	TSG
CATSPER2	No	No
CAV1	No	No
CAV3	No	No
CAVIN1	No	No
CAVIN4	No	No
CBFB	No	No
CBL	No	No
CBLC	No	No
CBS	No	No
CBX2	No	No
CC2D1A	No	No
CCDC121	No	No
CCDC122	No	No
CCDC39	No	No
CCDC40	No	No
CCDC6	No	No
CCHCR1	No	No
CCM2	No	No
CCNB1IP1	No	No
CCNC	No	Yes
CCND1	No	No
CCNY	No	No
CCR4	Yes	No
CCR5	No	No
CCR7	Yes	No
CCSER1	No	No
CCT5	No	No
CCT6B	No	No
CD19	No	No
CD209	No	No
CD22	No	No
CD24	No	No
CD247	No	No
CD28	Yes	No
CD2AP	No	No
CD36	No	No
CD40	No	No
CD40LG	No	No
CD46	No	No
CD74	No	No
CD79A	No	No
CD79B	No	No
CD81	No	No
CDAN1	No	No
CDC5L	No	No
CDC73	No	No
CDH1	No	No
CDH10	No	Yes
CDH15	No	No
CDH17	Yes	No
CDH23	No	No
CDH3	No	No
CDHR1	No	No
CDK4	No	No
CDKAL1	No	No
CDKL5	No	No
CDKN1A	Yes	Yes
CDKN1B	No	No
CDKN1C	No	No
CDKN2A	No	No
CDKN3	No	No
CDON	No	No
CDSN	No	No
CDX2	No	No
CEL	No	No
CENPA	No	No
CENPC	No	No
CEP290	No	No
CEP43	No	No
CEP72	No	No
CEP89	No	No
CERKL	No	No
CETP	No	No
CFAP126	No	No
CFB	No	No
CFC1	No	No
CFD	No	No
CFH	No	No
CFHR5	No	No
CFI	No	No
CFL2	No	No
CFTR	No	No
CGNL1	No	No
CHAT	No	No
CHCHD7	No	No
CHD2	No	Yes
CHD7	No	No
CHEK2	No	No
CHIC2	No	No
CHM	No	No
CHMP2B	No	No
CHN1	No	No
CHRNA1	No	No
CHRNA2	No	No
CHRNA4	No	No
CHRNB1	No	No
CHRNB2	No	No
CHRND	No	No
CHRNE	No	No
CHST11	Yes	No
CHST14	No	No
CHST3	No	No
CHST6	No	No
CIITA	No	No
CILK1	No	No
CILP	No	No
CISD2	No	No
CKS1B	No	No
CLCN1	No	No
CLCN2	No	No
CLCN5	No	No
CLCN7	No	No
CLCNKA	No	No
CLCNKB	No	No
CLEC7A	No	No
CLIP1	No	No
CLN3	No	No
CLN5	No	No
CLN6	No	No
CLN8	No	No
CLP1	No	No
CLRN1	No	No
CLTC	No	No
CLTCL1	No	No
CMC4	No	No
CNBD1	No	No
CNBP	No	No
CNGA1	No	No
CNGA3	No	No
CNGB1	No	No
CNGB3	No	No
CNNM4	No	No
