[I 2025-12-04 07:11:13,151] Trial 23 finished with value: 0.34351584123608964 and parameters: {'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 16, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:13,553] Trial 24 finished with value: 0.34466483226611666 and parameters: {'max_depth': 15, 'min_samples_split': 7, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:13,804] Trial 25 finished with value: 0.3503988888474144 and parameters: {'max_depth': 5, 'min_samples_split': 13, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:13,955] Trial 26 finished with value: 0.3391487737584828 and parameters: {'max_depth': 4, 'min_samples_split': 12, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:14,293] Trial 27 finished with value: 0.34512593168744365 and parameters: {'max_depth': 13, 'min_samples_split': 14, 'min_samples_leaf': 15, 'criterion': 'gini', 'max_features': 'log2', 'splitter': 'best'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:14,786] Trial 28 finished with value: 0.34534735688193463 and parameters: {'max_depth': 21, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'best'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:14,941] Trial 29 finished with value: 0.3455461686810009 and parameters: {'max_depth': 9, 'min_samples_split': 17, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 19 with value: 0.3509335870690294.
[I 2025-12-04 07:11:16,533] A new study created in memory with name: decision_tree_fold_2
[I 2025-12-04 07:11:16,705] Trial 0 finished with value: 0.34591721557483 and parameters: {'max_depth': 14, 'min_samples_split': 11, 'min_samples_leaf': 15, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'random'}. Best is trial 0 with value: 0.34591721557483.
[I 2025-12-04 07:11:16,897] Trial 1 finished with value: 0.34371119715818554 and parameters: {'max_depth': 26, 'min_samples_split': 5, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 0 with value: 0.34591721557483.
[I 2025-12-04 07:11:17,093] Trial 2 finished with value: 0.3461471934195044 and parameters: {'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 18, 'criterion': 'gini', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 2 with value: 0.3461471934195044.
[I 2025-12-04 07:11:17,286] Trial 3 finished with value: 0.34576243778776683 and parameters: {'max_depth': 12, 'min_samples_split': 12, 'min_samples_leaf': 15, 'criterion': 'log_loss', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 2 with value: 0.3461471934195044.
[I 2025-12-04 07:11:19,854] Trial 4 finished with value: 0.3462864938822227 and parameters: {'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 17, 'criterion': 'log_loss', 'max_features': None, 'splitter': 'best'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:20,040] Trial 5 finished with value: 0.34422752714225624 and parameters: {'max_depth': 29, 'min_samples_split': 7, 'min_samples_leaf': 16, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:20,216] Trial 6 finished with value: 0.3437988874476955 and parameters: {'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 19, 'criterion': 'entropy', 'max_features': 'log2', 'splitter': 'random'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:20,401] Trial 7 finished with value: 0.34185454361151757 and parameters: {'max_depth': 19, 'min_samples_split': 11, 'min_samples_leaf': 18, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:22,542] Trial 8 finished with value: 0.34601924912009707 and parameters: {'max_depth': 15, 'min_samples_split': 16, 'min_samples_leaf': 17, 'criterion': 'gini', 'max_features': None, 'splitter': 'best'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:22,706] Trial 9 finished with value: 0.33925313482699704 and parameters: {'max_depth': 2, 'min_samples_split': 9, 'min_samples_leaf': 20, 'criterion': 'log_loss', 'max_features': 'sqrt', 'splitter': 'random'}. Best is trial 4 with value: 0.3462864938822227.
[I 2025-12-04 07:11:23,953] Trial 10 finished with value: 0.3530710684795701 and parameters: {'max_depth': 4, 'min_samples_split': 19, 'min_samples_leaf': 17, 'criterion': 'entropy', 'max_features': None, 'splitter': 'best'}. Best is trial 10 with value: 0.3530710684795701.
