[I 2025-12-02 17:42:16,315] A new study created in memory with name: catboost_fold_1
[I 2025-12-02 17:43:10,506] Trial 18 finished with value: 0.38457856181433253 and parameters: {'iterations': 600, 'learning_rate': 0.017136443958870772, 'depth': 3, 'l2_leaf_reg': 2.4899944946259134, 'border_count': 195, 'bagging_temperature': 0.004657978947073871, 'random_strength': 0.8541748103222617}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:43:15,197] Trial 19 finished with value: 0.3883412016615674 and parameters: {'iterations': 800, 'learning_rate': 0.014036185557423763, 'depth': 4, 'l2_leaf_reg': 1.0979872614681359, 'border_count': 151, 'bagging_temperature': 0.48426944423058493, 'random_strength': 0.006385330177296533}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:43:20,185] Trial 20 finished with value: 0.3858266474474329 and parameters: {'iterations': 800, 'learning_rate': 0.0036622227160775477, 'depth': 4, 'l2_leaf_reg': 1.0118626359616298, 'border_count': 165, 'bagging_temperature': 0.9749851676615147, 'random_strength': 0.9564509160230615}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:43:24,819] Trial 21 finished with value: 0.3878979539243325 and parameters: {'iterations': 800, 'learning_rate': 0.013963543767347559, 'depth': 4, 'l2_leaf_reg': 3.897680707587285, 'border_count': 152, 'bagging_temperature': 0.4790750801244145, 'random_strength': 0.0026614466253463837}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:43:29,958] Trial 22 finished with value: 0.3862715163451975 and parameters: {'iterations': 900, 'learning_rate': 0.01309271444095822, 'depth': 4, 'l2_leaf_reg': 4.287759667476396, 'border_count': 150, 'bagging_temperature': 0.5666599899468827, 'random_strength': 0.15133660214133315}. Best is trial 9 with value: 0.38846757785159725.
[I 2025-12-02 17:43:34,718] Trial 23 finished with value: 0.3886546823030415 and parameters: {'iterations': 800, 'learning_rate': 0.01027568740998286, 'depth': 4, 'l2_leaf_reg': 7.0000544370655735, 'border_count': 158, 'bagging_temperature': 0.4578214760068962, 'random_strength': 0.007828408828553584}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:43:38,950] Trial 24 finished with value: 0.3859229135218647 and parameters: {'iterations': 700, 'learning_rate': 0.009646897973632093, 'depth': 4, 'l2_leaf_reg': 7.200727386255743, 'border_count': 161, 'bagging_temperature': 0.609571635343957, 'random_strength': 0.27983045164452053}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:43:44,892] Trial 25 finished with value: 0.38661307762131086 and parameters: {'iterations': 1000, 'learning_rate': 0.006780140273202581, 'depth': 4, 'l2_leaf_reg': 7.1175459563844905, 'border_count': 174, 'bagging_temperature': 0.8676139915638484, 'random_strength': 0.12263910511635279}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:43:50,248] Trial 26 finished with value: 0.38423048600006526 and parameters: {'iterations': 900, 'learning_rate': 0.0011950795074064796, 'depth': 4, 'l2_leaf_reg': 6.02011778415527, 'border_count': 158, 'bagging_temperature': 0.45916194785790837, 'random_strength': 0.11143939514005402}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:43:54,064] Trial 27 finished with value: 0.38517402342732043 and parameters: {'iterations': 600, 'learning_rate': 0.011458403843430102, 'depth': 4, 'l2_leaf_reg': 8.060964558915645, 'border_count': 172, 'bagging_temperature': 0.6654714117458311, 'random_strength': 0.5476861728749355}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:43:58,049] Trial 28 finished with value: 0.3853399267907152 and parameters: {'iterations': 800, 'learning_rate': 0.01678189222788317, 'depth': 3, 'l2_leaf_reg': 6.698051417003446, 'border_count': 181, 'bagging_temperature': 0.2737601131882005, 'random_strength': 0.23869818497790363}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:44:02,593] Trial 29 finished with value: 0.38643264017806567 and parameters: {'iterations': 700, 'learning_rate': 0.007529718285908645, 'depth': 4, 'l2_leaf_reg': 1.6275755719523914, 'border_count': 191, 'bagging_temperature': 0.40494610549963883, 'random_strength': 0.41180929973417557}. Best is trial 23 with value: 0.3886546823030415.
[I 2025-12-02 17:44:04,553] A new study created in memory with name: catboost_fold_2
[I 2025-12-02 17:44:05,776] Trial 0 finished with value: 0.3825582320715514 and parameters: {'iterations': 200, 'learning_rate': 0.01522781240198363, 'depth': 2, 'l2_leaf_reg': 1.5679621176978218, 'border_count': 255, 'bagging_temperature': 0.9471722676776332, 'random_strength': 0.11404199377177637}. Best is trial 0 with value: 0.3825582320715514.
[I 2025-12-02 17:44:06,918] Trial 1 finished with value: 0.380009383011539 and parameters: {'iterations': 100, 'learning_rate': 0.01503130979195812, 'depth': 4, 'l2_leaf_reg': 6.916854919460917, 'border_count': 221, 'bagging_temperature': 0.9908594093029575, 'random_strength': 0.2122953946188828}. Best is trial 0 with value: 0.3825582320715514.
[I 2025-12-02 17:44:11,879] Trial 2 finished with value: 0.39262899060493683 and parameters: {'iterations': 800, 'learning_rate': 0.018443603601465564, 'depth': 4, 'l2_leaf_reg': 3.4749231067193036, 'border_count': 196, 'bagging_temperature': 0.4920433280879458, 'random_strength': 0.3905524384090192}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:15,104] Trial 3 finished with value: 0.38870293663890326 and parameters: {'iterations': 600, 'learning_rate': 0.011184668475860013, 'depth': 3, 'l2_leaf_reg': 7.949103845497024, 'border_count': 217, 'bagging_temperature': 0.3793484785790733, 'random_strength': 0.3093959510878792}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:18,553] Trial 4 finished with value: 0.37771227116808237 and parameters: {'iterations': 800, 'learning_rate': 0.0013025886873775055, 'depth': 2, 'l2_leaf_reg': 4.298887286223033, 'border_count': 159, 'bagging_temperature': 0.16203833635157816, 'random_strength': 0.20376097327217157}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:24,318] Trial 5 finished with value: 0.3882149271196814 and parameters: {'iterations': 900, 'learning_rate': 0.012821887700576146, 'depth': 4, 'l2_leaf_reg': 8.455609856253668, 'border_count': 208, 'bagging_temperature': 0.6126996546195886, 'random_strength': 0.8210288606946727}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:25,823] Trial 6 finished with value: 0.3810791394339651 and parameters: {'iterations': 200, 'learning_rate': 0.013638799749246033, 'depth': 3, 'l2_leaf_reg': 1.1463580202648558, 'border_count': 230, 'bagging_temperature': 0.1145810858471773, 'random_strength': 0.8390988063405548}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:28,767] Trial 7 finished with value: 0.3886245006592079 and parameters: {'iterations': 400, 'learning_rate': 0.017045786627861312, 'depth': 4, 'l2_leaf_reg': 6.865981458415918, 'border_count': 224, 'bagging_temperature': 0.7045204165455663, 'random_strength': 0.1736292138120057}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:30,431] Trial 8 finished with value: 0.3833190101310346 and parameters: {'iterations': 300, 'learning_rate': 0.013774240210579367, 'depth': 2, 'l2_leaf_reg': 1.6271849459706802, 'border_count': 211, 'bagging_temperature': 0.21258059074331614, 'random_strength': 0.6548426802060131}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:36,418] Trial 9 finished with value: 0.38731461892817276 and parameters: {'iterations': 900, 'learning_rate': 0.009913688383180672, 'depth': 4, 'l2_leaf_reg': 5.37033644376907, 'border_count': 240, 'bagging_temperature': 0.9545935686153738, 'random_strength': 0.9258260096998753}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:39,575] Trial 10 finished with value: 0.38919454466369585 and parameters: {'iterations': 600, 'learning_rate': 0.01927026951359394, 'depth': 3, 'l2_leaf_reg': 3.477229601049467, 'border_count': 176, 'bagging_temperature': 0.43986853514472507, 'random_strength': 0.4617082350320104}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:42,734] Trial 11 finished with value: 0.3888113144554803 and parameters: {'iterations': 600, 'learning_rate': 0.0191082443312209, 'depth': 3, 'l2_leaf_reg': 3.465656981824672, 'border_count': 182, 'bagging_temperature': 0.39327928171908266, 'random_strength': 0.48747214738601424}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:46,412] Trial 12 finished with value: 0.3911823245589057 and parameters: {'iterations': 700, 'learning_rate': 0.01978286107371129, 'depth': 3, 'l2_leaf_reg': 3.2973094733932933, 'border_count': 191, 'bagging_temperature': 0.48910763139185465, 'random_strength': 0.5069383804535005}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:50,566] Trial 13 finished with value: 0.38565909030172646 and parameters: {'iterations': 800, 'learning_rate': 0.007466453627920229, 'depth': 3, 'l2_leaf_reg': 9.92173603713923, 'border_count': 190, 'bagging_temperature': 0.647774179164242, 'random_strength': 0.6418910046529112}. Best is trial 2 with value: 0.39262899060493683.
[I 2025-12-02 17:44:56,781] Trial 14 finished with value: 0.39522780613018316 and parameters: {'iterations': 1000, 'learning_rate': 0.017403815568759626, 'depth': 4, 'l2_leaf_reg': 3.096873014063635, 'border_count': 195, 'bagging_temperature': 0.7860678448665978, 'random_strength': 0.35929467661789866}. Best is trial 14 with value: 0.39522780613018316.
