[I 2025-11-27 04:47:04,902] A new study created in memory with name: decision_tree_fold_1
[I 2025-11-27 04:47:41,039] Trial 5 finished with value: 0.3428748492201631 and parameters: {'max_depth': 39, 'min_samples_split': 36}. Best is trial 2 with value: 0.3474643985258786.
[I 2025-11-27 04:47:42,007] Trial 6 finished with value: 0.3512954481393782 and parameters: {'max_depth': 9, 'min_samples_split': 47}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:43,315] Trial 7 finished with value: 0.33921128099220715 and parameters: {'max_depth': 34, 'min_samples_split': 19}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:44,605] Trial 8 finished with value: 0.340453484078524 and parameters: {'max_depth': 23, 'min_samples_split': 19}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:45,894] Trial 9 finished with value: 0.3429763320929643 and parameters: {'max_depth': 38, 'min_samples_split': 35}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:47,040] Trial 10 finished with value: 0.34732317462102924 and parameters: {'max_depth': 13, 'min_samples_split': 50}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:47,950] Trial 11 finished with value: 0.3489131946649113 and parameters: {'max_depth': 8, 'min_samples_split': 5}. Best is trial 6 with value: 0.3512954481393782.
[I 2025-11-27 04:47:48,579] Trial 12 finished with value: 0.35341557290031134 and parameters: {'max_depth': 5, 'min_samples_split': 14}. Best is trial 12 with value: 0.35341557290031134.
[I 2025-11-27 04:47:48,876] Trial 13 finished with value: 0.34625552916703195 and parameters: {'max_depth': 2, 'min_samples_split': 11}. Best is trial 12 with value: 0.35341557290031134.
[I 2025-11-27 04:47:50,086] Trial 14 finished with value: 0.3433991055942175 and parameters: {'max_depth': 15, 'min_samples_split': 28}. Best is trial 12 with value: 0.35341557290031134.
[I 2025-11-27 04:47:50,994] Trial 15 finished with value: 0.34950120376217375 and parameters: {'max_depth': 8, 'min_samples_split': 14}. Best is trial 12 with value: 0.35341557290031134.
[I 2025-11-27 04:47:52,084] Trial 16 finished with value: 0.34481250979004424 and parameters: {'max_depth': 11, 'min_samples_split': 28}. Best is trial 12 with value: 0.35341557290031134.
[I 2025-11-27 04:47:52,713] Trial 17 finished with value: 0.3537491817040117 and parameters: {'max_depth': 5, 'min_samples_split': 50}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:53,968] Trial 18 finished with value: 0.344917695675373 and parameters: {'max_depth': 21, 'min_samples_split': 33}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:54,603] Trial 19 finished with value: 0.35335114569137194 and parameters: {'max_depth': 5, 'min_samples_split': 16}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:55,830] Trial 20 finished with value: 0.3418283585900408 and parameters: {'max_depth': 16, 'min_samples_split': 24}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:56,356] Trial 21 finished with value: 0.3525902262060886 and parameters: {'max_depth': 4, 'min_samples_split': 15}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:56,987] Trial 22 finished with value: 0.3534560601853224 and parameters: {'max_depth': 5, 'min_samples_split': 10}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:57,623] Trial 23 finished with value: 0.3527182062609725 and parameters: {'max_depth': 5, 'min_samples_split': 10}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:58,758] Trial 24 finished with value: 0.33985927890995715 and parameters: {'max_depth': 12, 'min_samples_split': 8}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:47:59,489] Trial 25 finished with value: 0.3518071917689049 and parameters: {'max_depth': 6, 'min_samples_split': 2}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:48:00,756] Trial 26 finished with value: 0.3405447963366424 and parameters: {'max_depth': 19, 'min_samples_split': 19}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:48:01,926] Trial 27 finished with value: 0.34093841415652737 and parameters: {'max_depth': 13, 'min_samples_split': 12}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:48:02,222] Trial 28 finished with value: 0.34625552916703195 and parameters: {'max_depth': 2, 'min_samples_split': 30}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:48:03,505] Trial 29 finished with value: 0.342721026441334 and parameters: {'max_depth': 23, 'min_samples_split': 22}. Best is trial 17 with value: 0.3537491817040117.
[I 2025-11-27 04:48:03,767] A new study created in memory with name: decision_tree_fold_3
[I 2025-11-27 04:48:04,467] Trial 0 finished with value: 0.34908939377053216 and parameters: {'max_depth': 6, 'min_samples_split': 13}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:05,844] Trial 1 finished with value: 0.3341280921314531 and parameters: {'max_depth': 31, 'min_samples_split': 4}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:07,185] Trial 2 finished with value: 0.3378439363196054 and parameters: {'max_depth': 35, 'min_samples_split': 35}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:08,454] Trial 3 finished with value: 0.34296442068394156 and parameters: {'max_depth': 11, 'min_samples_split': 49}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:09,754] Trial 4 finished with value: 0.3382628107137878 and parameters: {'max_depth': 27, 'min_samples_split': 46}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:11,134] Trial 5 finished with value: 0.33484640843633656 and parameters: {'max_depth': 33, 'min_samples_split': 7}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:12,441] Trial 6 finished with value: 0.33716740774030574 and parameters: {'max_depth': 20, 'min_samples_split': 19}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:13,796] Trial 7 finished with value: 0.33428706292102583 and parameters: {'max_depth': 26, 'min_samples_split': 6}. Best is trial 0 with value: 0.34908939377053216.
[I 2025-11-27 04:48:15,175] Trial 8 finished with value: 0.33466247206118654 and parameters: {'max_depth': 40, 'min_samples_split': 13}. Best is trial 0 with value: 0.34908939377053216.
