"ENTREZID" "SYMBOL"
"967" "29929" "ALG6"
"968" "79053" "ALG8"
"969" "178" "AGL"
"970" "10559" "SLC35A1"
"971" "2203" "FBP1"
"972" "84342" "COG8"
"973" "189" "AGXT"
"974" "2683" "B4GALT1"
"975" "112817" "HOGA1"
"976" "2588" "GALNS"
"977" "229" "ALDOB"
"978" "2632" "GBE1"
"979" "7841" "MOGS"
"980" "138050" "HGSNAT"
"981" "3373" "HYAL1"
"982" "91869" "RFT1"
"983" "79796" "ALG9"
"984" "4247" "MGAT2"
"985" "91949" "COG7"
"986" "5213" "PFKM"
"987" "85365" "ALG2"
"988" "10466" "COG5"
"989" "79087" "ALG12"
"990" "5837" "PYGM"
"991" "4669" "NAGLU"
"992" "440138" "ALG11"
"993" "3423" "IDS"
"994" "3425" "IDUA"
"995" "2538" "G6PC"
"996" "25839" "COG4"
"997" "8031" "NCOA4"
"998" "8030" "CCDC6"
"999" "54556" "ING3"
"1000" "5987" "TRIM27"
"1001" "10342" "TFG"
"1002" "23085" "ERC1"
"1003" "8805" "TRIM24"
"1004" "51592" "TRIM33"
"1005" "9950" "GOLGA5"
"1006" "3621" "ING1"
"1007" "5108" "PCM1"
"1008" "8795" "TNFRSF10B"
"1009" "7175" "TPR"
"1010" "4292" "MLH1"
"1011" "8643" "PTCH2"
"1012" "9531" "BAG3"
"1013" "7139" "TNNT2"
"1014" "7112" "TMPO"
"1015" "88" "ACTN2"
"1016" "131118" "DNAJC19"
"1017" "7134" "TNNC1"
"1018" "7137" "TNNI3"
"1019" "11155" "LDB3"
"1020" "5350" "PLN"
"1021" "4000" "LMNA"
"1022" "7414" "VCL"
"1023" "1674" "DES"
"1024" "1756" "DMD"
"1025" "2070" "EYA4"
"1026" "7273" "TTN"
"1027" "8048" "CSRP3"
"1028" "6444" "SGCD"
"1029" "4625" "MYH7"
"1030" "70" "ACTC1"
"1031" "7168" "TPM1"
"1032" "1829" "DSG2"
"1033" "2218" "FKTN"
"1034" "282996" "RBM20"
"1035" "8557" "TCAP"
"1036" "91624" "NEXN"
"1037" "6442" "SGCA"
"1038" "4634" "MYL3"
"1039" "4633" "MYL2"
"1040" "85366" "MYLK2"
"1041" "1832" "DSP"
"1042" "5318" "PKP2"
"1043" "6262" "RYR2"
"1044" "6261" "RYR1"
"1045" "79188" "TMEM43"
"1046" "51778" "MYOZ2"
"1047" "4607" "MYBPC3"
"1048" "125972" "CALR3"
"1049" "1824" "DSC2"
"1050" "4646" "MYO6"
"1051" "57158" "JPH2"
"1052" "3728" "JUP"
"1053" "4089" "SMAD4"
"1054" "54880" "BCOR"
"1055" "78987" "CRELD1"
"1056" "92579" "G6PC3"
"1057" "11235" "PDCD10"
"1058" "5921" "RASA1"
"1059" "2626" "GATA4"
"1060" "2022" "ENG"
"1061" "7021" "TFAP2B"
"1062" "6736" "SRY"
"1063" "27063" "ANKRD1"
"1064" "94" "ACVRL1"
"1065" "23414" "ZFPM2"
"1066" "6654" "SOS1"
"1067" "57057" "TBX20"
"1068" "23389" "MED13L"
"1069" "83605" "CCM2"
"1070" "7804" "LRP8"
"1071" "55109" "AGGF1"
"1072" "3827" "KNG1"
"1073" "368" "ABCC6"
"1074" "11285" "B4GALT7"
"1075" "183" "AGT"
"1076" "659" "BMPR2"
"1077" "9509" "ADAMTS2"
"1078" "5340" "PLG"
"1079" "710" "SERPING1"
"1080" "80271" "ITPKC"
"1081" "889" "KRIT1"
"1082" "11216" "AKAP10"
"1083" "5054" "SERPINE1"
"1084" "5351" "PLOD1"
"1085" "3431" "SP110"
"1086" "1290" "COL5A2"
"1087" "51320" "MEX3C"
"1088" "113189" "CHST14"
"1089" "1289" "COL5A1"
"1090" "5444" "PON1"
"1091" "2006" "ELN"
"1092" "23022" "PALLD"
"1093" "4851" "NOTCH1"
"1094" "4650" "MYO9B"
"1095" "57449" "PLEKHG5"
"1096" "26580" "BSCL2"
"1097" "3508" "IGHMBP2"
"1098" "7443" "VRK1"
"1099" "6606" "SMN1"
"1100" "3778" "KCNMA1"
"1101" "81622" "UNC93B1"
"1102" "367" "AR"
"1103" "7098" "TLR3"
"1104" "112476" "PRRT2"
"1105" "2617" "GARS1"
"1106" "23230" "VPS13A"
"1107" "1814" "DRD3"
"1108" "6607" "SMN2"
"1109" "7132" "TNFRSF1A"
"1110" "1785" "DNM2"
"1111" "5631" "PRPS1"
"1112" "26353" "HSPB8"
"1113" "54332" "GDAP1"
"1114" "3735" "KARS1"
"1115" "121512" "FGD4"
"1116" "8988" "HSPB3"
"1117" "1959" "EGR2"
"1118" "3236" "HOXD10"
"1119" "3315" "HSPB1"
"1120" "4747" "NEFL"
"1121" "1778" "DYNC1H1"
"1122" "7879" "RAB7A"
"1123" "81846" "SBF2"
"1124" "79628" "SH3TC2"
"1125" "2705" "GJB1"
"1126" "4359" "MPZ"
"1127" "10397" "NDRG1"
"1128" "23095" "KIF1B"
"1129" "16" "AARS1"
"1130" "8898" "MTMR2"
"1131" "8565" "YARS1"
"1132" "81857" "MED25"
"1133" "9927" "MFN2"
"1134" "2334" "AFF2"
"1135" "375616" "KCP"
"1136" "2615" "LRRC32"
"1137" "8771" "TNFRSF6B"
"1138" "7128" "TNFAIP3"
"1139" "100271520" "RPL39P28"
"1140" "2294" "FOXF1"
"1141" "23308" "ICOSLG"
"1142" "7850" "IL1R2"
"1143" "257177" "CFAP126"
"1144" "150962" "PUS10"
"1145" "4485" "MST1"
"1146" "728010" "RPL35P3"
"1147" "55876" "GSDMB"
"1148" "2835" "GPR12"
"1149" "2805" "GOT1"
"1150" "2308" "FOXO1"
"1151" "4046" "LSP1"
"1152" "3554" "IL1R1"
"1153" "3579" "CXCR2"
"1154" "1811" "SLC26A3"
"1155" "124626" "ZPBP2"
"1156" "343727" "CYCSP42"
"1157" "8209" "GATD3A"
"1158" "3127" "HLA-DRB5"
"1159" "1611" "DAP"
"1160" "8927" "BSN"
"1161" "100271063" "RPS14P1"
"1162" "639" "PRDM1"
"1163" "51750" "RTEL1"
"1164" "327" "APEH"
"1165" "57511" "COG6"
"1166" "55765" "INAVA"
"1167" "221416" "C6orf223"
"1168" "140717" "RPL37AP1"
"1169" "653437" "AQP12B"
"1170" "2859" "GPR35"
"1171" "127281" "PRXL2B"
"1172" "2768" "GNA12"
"1173" "10171" "RCL1"
"1174" "8204" "NRIP1"
"1175" "54546" "RNF186"
"1176" "55722" "CEP72"
"1177" "146198" "ZFP90"
"1178" "23252" "OTUD3"
"1179" "3577" "CXCR1"
"1180" "159296" "NKX2-3"
"1181" "167826" "OLIG3"
"1182" "3132" "HLA-DRB9"
"1183" "6550" "SLC9A3"
"1184" "219771" "CCNY"
"1185" "56946" "EMSY"
"1186" "2212" "FCGR2A"
"1187" "57154" "SMURF1"
"1188" "9923" "ZBTB40"
"1189" "3394" "IRF8"
"1190" "402569" "KPNA7"
"1191" "5734" "PTGER4"
"1192" "1601" "DAB2"
"1193" "400935" "IL17REL"
"1194" "5307" "PITX1"
"1195" "8764" "TNFRSF14"
"1196" "9966" "TNFSF15"
"1197" "120400" "NXPE1"
"1198" "7422" "VEGFA"
"1199" "54361" "WNT4"
"1200" "100129306" "RPS20P32"
"1201" "9555" "MACROH2A1"
"1202" "1001" "CDH3"
"1203" "4920" "ROR2"
"1204" "1294" "COL7A1"
"1205" "4627" "MYH9"
"1206" "1287" "COL4A5"
"1207" "1286" "COL4A4"
"1208" "862" "RUNX1T1"
"1209" "5395" "PMS2"
"1210" "79695" "GALNT12"
"1211" "5606" "MAP2K3"
"1212" "4072" "EPCAM"
"1213" "4512" "COX1"
"1214" "657" "BMPR1A"
"1215" "4595" "MUTYH"
"1216" "8929" "PHOX2B"
"1217" "4092" "SMAD7"
"1218" "7486" "WRN"
"1219" "5157" "PDGFRL"
"1220" "8313" "AXIN2"
"1221" "2956" "MSH6"
"1222" "2042" "EPHA3"
"1223" "27030" "MLH3"
"1224" "4522" "MTHFD1"
"1225" "4436" "MSH2"
"1226" "2668" "GDNF"
"1227" "9289" "ADGRG1"
"1228" "3854" "KRT6B"
"1229" "3852" "KRT5"
"1230" "3853" "KRT6A"
"1231" "54507" "ADAMTSL4"
"1232" "3858" "KRT10"
"1233" "2312" "FLG"
"1234" "81839" "VANGL1"
"1235" "3679" "ITGA7"
"1236" "4653" "MYOC"
"1237" "4552" "MTRR"
"1238" "26154" "ABCA12"
"1239" "80208" "SPG11"
"1240" "4214" "MAP3K1"
"1241" "122042" "RXFP2"
"1242" "242" "ALOX12B"
"1243" "65055" "REEP1"
"1244" "3295" "HSD17B4"
"1245" "3293" "HSD17B3"
"1246" "10585" "POMT1"
"1247" "10564" "ARFGEF2"
"1248" "55651" "NHP2"
"1249" "157570" "ESCO2"
"1250" "57716" "PRX"
"1251" "23503" "ZFYVE26"
"1252" "8241" "RBM10"
"1253" "54820" "NDE1"
"1254" "80781" "COL18A1"
"1255" "1308" "COL17A1"
"1256" "3798" "KIF5A"
"1257" "1834" "DSPP"
"1258" "643418" "LIPN"
"1259" "23111" "SPART"
"1260" "4867" "NPHP1"
"1261" "126410" "CYP4F22"
"1262" "6716" "SRD5A2"
"1263" "10117" "ENAM"
"1264" "9907" "AP5Z1"
"1265" "6657" "SOX2"
"1266" "3849" "KRT2"
"1267" "3848" "KRT1"
"1268" "6662" "SOX9"
"1269" "4548" "MTR"
"1270" "10908" "PNPLA6"
"1271" "2018" "EMX2"
"1272" "7490" "WT1"
"1273" "3872" "KRT17"
"1274" "3909" "LAMA3"
"1275" "118813" "ZFYVE27"
"1276" "9897" "WASHC5"
"1277" "51324" "SPG21"
"1278" "6862" "TBXT"
"1279" "79152" "FA2H"
"1280" "123606" "NIPA1"
"1281" "9622" "KLK4"
"1282" "3655" "ITGA6"
"1283" "7248" "TSC1"
"1284" "1545" "CYP1B1"
"1285" "26277" "TINF2"
"1286" "128674" "PROKR2"
"1287" "412" "STS"
"1288" "8320" "EOMES"
"1289" "3476" "IGBP1"
"1290" "7249" "TSC2"
"1291" "84733" "CBX2"
"1292" "338917" "VSX2"
"1293" "1641" "DCX"
"1294" "1643" "DDB2"
"1295" "6683" "SPAST"
"1296" "6687" "SPG7"
"1297" "7849" "PAX8"
"1298" "7846" "TUBA1A"
"1299" "6299" "SALL1"
"1300" "3861" "KRT14"
"1301" "79840" "NHEJ1"
"1302" "50846" "DHH"
"1303" "7476" "WNT7A"
"1304" "286077" "FAM83H"
"1305" "3914" "LAMB3"
"1306" "3918" "LAMC2"
"1307" "7507" "XPA"
"1308" "7508" "XPC"
"1309" "55505" "NOP10"
"1310" "3329" "HSPD1"
"1311" "79147" "FKRP"
"1312" "347733" "TUBB2B"
"1313" "7051" "TGM1"
"1314" "265" "AMELX"
"1315" "1293" "COL6A3"
"1316" "269" "AMHR2"
"1317" "268" "AMH"
"1318" "3640" "INSL3"
"1319" "2253" "FGF8"
"1320" "988" "CDC5L"
"1321" "8139" "GAN"
"1322" "9990" "SLC12A6"
"1323" "55135" "WRAP53"
"1324" "2073" "ERCC5"
"1325" "2072" "ERCC4"
"1326" "9313" "MMP20"
"1327" "23314" "SATB2"
"1328" "5339" "PLEC"
"1329" "1736" "DKC1"
"1330" "5784" "PTPN14"
"1331" "55640" "FLVCR2"
"1332" "224" "ALDH3A2"
"1333" "5429" "POLH"
"1334" "57190" "SELENON"
"1335" "1747" "DLX3"
"1336" "284654" "RSPO1"
"1337" "5649" "RELN"
"1338" "59344" "ALOXE3"
"1339" "3730" "ANOS1"
"1340" "57165" "GJC2"
"1341" "1292" "COL6A2"
"1342" "9420" "CYP7B1"
"1343" "1291" "COL6A1"
"1344" "50945" "TBX22"
"1345" "60675" "PROK2"
"1346" "9197" "SLC33A1"
"1347" "5048" "PAFAH1B1"
"1348" "22948" "CCT5"
"1349" "9215" "LARGE1"
"1350" "4990" "SIX6"
"1351" "116519" "APOA5"
"1352" "27286" "SRPX2"
"1353" "4023" "LPL"
"1354" "10516" "FBLN5"
"1355" "4306" "NR3C2"
"1356" "2652" "OPN1MW"
"1357" "145226" "RDH12"
"1358" "344" "APOC2"
"1359" "3857" "KRT9"
"1360" "8905" "AP1S2"
"1361" "919" "CD247"
"1362" "7045" "TGFBI"
"1363" "1497" "CTNS"
"1364" "6094" "ROM1"
"1365" "6794" "STK11"
"1366" "1258" "CNGB1"
"1367" "5913" "RAPSN"
"1368" "1080" "CFTR"
"1369" "1121" "CHM"
"1370" "11136" "SLC7A9"
"1371" "80207" "OPA3"
"1372" "51114" "ZDHHC9"
"1373" "29914" "UBIAD1"
"1374" "1406" "CRX"
"1375" "64421" "DCLRE1C"
"1376" "4210" "MEFV"
"1377" "57477" "SHROOM4"
"1378" "6935" "ZEB1"
"1379" "23545" "ATP6V0A2"
"1380" "23096" "IQSEC2"
"1381" "4117" "MAK"
"1382" "57502" "NLGN4X"
"1383" "9733" "SART3"
"1384" "338" "APOB"
"1385" "335" "APOA1"
"1386" "3291" "HSD11B2"
"1387" "255738" "PCSK9"
"1388" "857" "CAV1"
"1389" "6439" "SFTPB"
"1390" "653361" "NCF1"
"1391" "7552" "ZNF711"
"1392" "7555" "CNBP"
"1393" "3850" "KRT3"
"1394" "6611" "SMS"
"1395" "4771" "NF2"
"1396" "57094" "CPA6"
"1397" "148738" "HJV"
"1398" "3859" "KRT12"
"1399" "80331" "DNAJC5"
"1400" "6891" "TAP2"
"1401" "6890" "TAP1"
"1402" "55975" "KLHL7"
"1403" "768206" "PRCD"
"1404" "8292" "COLQ"
"1405" "6103" "RPGR"
"1406" "6102" "RP2"
"1407" "5456" "POU3F4"
"1408" "6100" "RP9"
"1409" "5146" "PDE6C"
"1410" "57531" "HACE1"
"1411" "8242" "KDM5C"
"1412" "5538" "PPT1"
"1413" "91662" "NLRP12"
"1414" "26260" "FBXO25"
"1415" "23020" "SNRNP200"
"1416" "57152" "SLURP1"
"1417" "114548" "NLRP3"
"1418" "2719" "GPC3"
"1419" "6559" "SLC12A3"
"1420" "7389" "UROD"
"1421" "6101" "RP1"
"1422" "4593" "MUSK"
"1423" "1371" "CPOX"
"1424" "3939" "LDHA"
"1425" "3931" "LCAT"
"1426" "5265" "SERPINA1"
"1427" "55624" "POMGNT1"
"1428" "5995" "RGR"
"1429" "5994" "RFXAP"
"1430" "5993" "RFX5"
"1431" "7319" "UBE2A"
"1432" "2318" "FLNC"
"1433" "92211" "CDHR1"
"1434" "203859" "ANO5"
"1435" "10594" "PRPF8"
"1436" "825" "CAPN3"
"1437" "346007" "EYS"
"1438" "6567" "SLC16A2"
"1439" "6329" "SCN4A"
"1440" "6855" "SYP"
"1441" "1244" "ABCC2"
"1442" "65266" "WNK4"
"1443" "23418" "CRB1"
"1444" "5498" "PPOX"
"1445" "7036" "TFR2"
"1446" "3981" "LIG4"
"1447" "5314" "PKHD1"
"1448" "7276" "TTR"
"1449" "11281" "POU6F2"
"1450" "84233" "TMEM126A"
"1451" "1075" "CTSC"
"1452" "8754" "ADAM9"
"1453" "249" "ALPL"
"1454" "4547" "MTTP"
"1455" "2273" "FHL1"
"1456" "284119" "CAVIN1"
"1457" "4261" "CIITA"
"1458" "79947" "DHDDS"
"1459" "9129" "PRPF3"
"1460" "8291" "DYSF"
"1461" "6535" "SLC6A8"
"1462" "641339" "ZNF674"
"1463" "175" "AGA"
"1464" "4539" "ND4L"
"1465" "4942" "OAT"
"1466" "30061" "SLC40A1"
"1467" "186" "AGTR2"
"1468" "185" "AGTR1"
"1469" "1123" "CHN1"
"1470" "10159" "ATP6AP2"
"1471" "5896" "RAG1"
"1472" "4154" "MBNL1"
"1473" "19" "ABCA1"
"1474" "27032" "ATP2C1"
"1475" "50617" "ATP6V0A4"
"1476" "28956" "LAMTOR2"
"1477" "254065" "BRWD3"
"1478" "54982" "CLN6"
"1479" "84839" "RAX2"
"1480" "10479" "SLC9A6"
"1481" "4166" "CHST6"
"1482" "24140" "FTSJ1"
"1483" "10084" "PQBP1"
"1484" "90167" "FRMD7"
"1485" "3988" "LIPA"
"1486" "8842" "PROM1"
"1487" "29954" "POMT2"
"1488" "204" "AK2"
"1489" "779" "CACNA1S"
"1490" "778" "CACNA1F"
"1491" "1340" "COX6B1"
"1492" "7102" "TSPAN7"
"1493" "2979" "GUCA1B"
"1494" "57817" "HAMP"
"1495" "3028" "HSD17B10"
"1496" "1760" "DMPK"
"1497" "1140" "CHRNB1"
"1498" "11141" "IL1RAPL1"
"1499" "1593" "CYP27A1"
"1500" "1144" "CHRND"
"1501" "8625" "RFXANK"
"1502" "5897" "RAG2"
"1503" "22999" "RIMS1"
"1504" "9203" "ZMYM3"
"1505" "525" "ATP6V1B1"
"1506" "4901" "NRL"
"1507" "2664" "GDI1"
"1508" "2245" "FGD1"
"1509" "7391" "USF1"
"1510" "7390" "UROS"
"1511" "5063" "PAK3"
"1512" "2707" "GJB3"
"1513" "2706" "GJB2"
"1514" "6338" "SCNN1B"
"1515" "6445" "SGCG"
"1516" "6443" "SGCB"
"1517" "6337" "SCNN1A"
"1518" "6569" "SLC34A1"
"1519" "1828" "DSG1"
"1520" "7439" "BEST1"
"1521" "4976" "OPA1"
"1522" "3949" "LDLR"
"1523" "10128" "LRPPRC"
"1524" "83959" "SLC4A11"
"1525" "8322" "FZD4"
"1526" "9782" "MATR3"
"1527" "6440" "SFTPC"
"1528" "24" "ABCA4"
"1529" "54657" "UGT1A4"
"1530" "1509" "CTSD"
"1531" "8106" "PABPN1"
"1532" "54658" "UGT1A1"
"1533" "84061" "MAGT1"
"1534" "388939" "PCARE"
"1535" "1729" "DIAPH1"
"1536" "5972" "REN"
"1537" "9968" "MED12"
"1538" "3614" "IMPDH1"
"1539" "2290" "FOXG1"
"1540" "7592" "ZNF41"
"1541" "3000" "GUCY2D"
"1542" "116442" "RAB39B"
"1543" "55812" "SPATA7"
"1544" "4983" "OPHN1"
"1545" "27329" "ANGPTL3"
"1546" "2055" "CLN8"
"1547" "3145" "HMBS"
"1548" "5961" "PRPH2"
"1549" "23133" "PHF8"
"1550" "30008" "EFEMP2"
"1551" "6524" "SLC5A2"
"1552" "6295" "SAG"
"1553" "4688" "NCF2"
"1554" "2892" "GRIA3"
"1555" "6197" "RPS6KA3"
"1556" "1103" "CHAT"
"1557" "26121" "PRPF31"
"1558" "10002" "NR2E3"
"1559" "83394" "PITPNM3"
"1560" "3860" "KRT13"
"1561" "57096" "RPGRIP1"
"1562" "256471" "MFSD8"
"1563" "9180" "OSMR"
"1564" "653509" "SFTPA1"
"1565" "23224" "SYNE2"
"1566" "5145" "PDE6A"
"1567" "488" "ATP2A2"
"1568" "493753" "COA5"
"1569" "10461" "MERTK"
"1570" "5831" "PYCR1"
"1571" "4015" "LOX"
"1572" "4014" "LOR"
"1573" "7504" "XK"
"1574" "4221" "MEN1"
"1575" "213" "ALB"
"1576" "210" "ALAD"
"1577" "762" "CA4"
"1578" "8573" "CASK"
"1579" "6121" "RPE65"
"1580" "10210" "TOPORS"
"1581" "285489" "DOK7"
"1582" "5148" "PDE6G"
"1583" "57167" "SALL4"
"1584" "3561" "IL2RG"
"1585" "6010" "RHO"
"1586" "6017" "RLBP1"
"1587" "24148" "PRPF6"
"1588" "26119" "LDLRAP1"
"1589" "9499" "MYOT"
"1590" "9997" "SCO2"
"1591" "6519" "SLC3A1"
"1592" "6514" "SLC2A2"
"1593" "3077" "HFE"
"1594" "1259" "CNGA1"
"1595" "127534" "GJB4"
"1596" "8450" "CUL4B"
"1597" "64218" "SEMA4A"
"1598" "130557" "ZNF513"
"1599" "847" "CAT"
"1600" "2978" "GUCA1A"
"1601" "149998" "LIPI"
"1602" "5158" "PDE6B"
"1603" "118429" "ANTXR2"
"1604" "10555" "AGPAT2"
"1605" "2010" "EMD"
"1606" "1634" "DCN"
"1607" "347344" "ZNF81"
"1608" "4069" "LYZ"
"1609" "65109" "UPF3B"
"1610" "375298" "CERKL"
"1611" "728458" "OPN1MW2"
"1612" "2182" "ACSL4"
"1613" "25794" "FSCN2"
"1614" "1027" "CDKN1B"
"1615" "1029" "CDKN2A"
"1616" "1180" "CLCN1"
"1617" "158866" "ZDHHC15"
"1618" "1741" "DLG3"
"1619" "7287" "TULP1"
"1620" "9459" "ARHGEF6"
"1621" "2235" "FECH"
"1622" "1201" "CLN3"
"1623" "1200" "TPP1"
"1624" "1203" "CLN5"
"1625" "30813" "VSX1"
"1626" "1893" "ECM1"
"1627" "6341" "SCO1"
"1628" "6340" "SCNN1G"
"1629" "4519" "CYTB"
"1630" "4513" "COX2"
"1631" "4514" "COX3"
"1632" "8671" "SLC4A4"
"1633" "200576" "PIKFYVE"
"1634" "1296" "COL8A2"
"1635" "4689" "NCF4"
"1636" "10075" "HUWE1"
"1637" "84140" "FAM161A"
"1638" "9094" "UNC119"
"1639" "26504" "CNNM4"
"1640" "1807" "DPYS"
"1641" "1806" "DPYD"
"1642" "3420" "IDH3B"
"1643" "50939" "IMPG2"
"1644" "91" "ACVR1B"
"1645" "50484" "RRM2B"
"1646" "9150" "CTDP1"
"1647" "55605" "KIF21A"
"1648" "11232" "POLG2"
"1649" "64221" "ROBO3"
"1650" "291" "SLC25A4"
"1651" "64127" "NOD2"
"1652" "3764" "KCNJ8"
"1653" "7259" "TSPYL1"
"1654" "54738" "FEV"
"1655" "6833" "ABCC8"
"1656" "9479" "MAPK8IP1"
"1657" "3636" "INPPL1"
"1658" "23101" "MCF2L2"
"1659" "8462" "KLF11"
"1660" "4760" "NEUROD1"
"1661" "11132" "CAPN10"
"1662" "5506" "PPP1R3A"
"1663" "3651" "PDX1"
"1664" "3557" "IL1RN"
"1665" "6648" "SOD2"
"1666" "6517" "SLC2A4"
"1667" "57104" "PNPLA2"
"1668" "3667" "IRS1"
"1669" "9370" "ADIPOQ"
"1670" "6934" "TCF7L2"
"1671" "256297" "PTF1A"
"1672" "640" "BLK"
"1673" "6928" "HNF1B"
"1674" "345611" "IRGM"
"1675" "115908" "CTHRC1"
"1676" "3659" "IRF1"
"1677" "11231" "SEC63"
"1678" "55054" "ATG16L1"
"1679" "1316" "KLF6"
"1680" "51119" "SBDS"
"1681" "6390" "SDHB"
"1682" "6391" "SDHC"
"1683" "3030" "HADHA"
"1684" "4481" "MSR1"
"1685" "84701" "COX4I2"
"1686" "5156" "PDGFRA"
"1687" "3587" "IL10RA"
"1688" "3588" "IL10RB"
"1689" "2272" "FHIT"
"1690" "4293" "MAP3K9"
"1691" "51741" "WWOX"
"1692" "6049" "RNF6"
"1693" "9940" "DLEC1"
"1694" "6690" "SPINK1"
"1695" "5243" "ABCB1"
"1696" "4613" "MYCN"
"1697" "1890" "TYMP"
"1698" "5644" "PRSS1"
"1699" "1056" "CEL"
"1700" "51008" "ASCC1"
"1701" "11178" "LZTS1"
"1702" "2746" "GLUD1"
"1703" "10111" "RAD50"
"1704" "6513" "SLC2A1"
"1705" "6872" "TAF1"
"1706" "1813" "DRD2"
"1707" "2643" "GCH1"
"1708" "8575" "PRKRA"
"1709" "8910" "SGCE"
"1710" "25953" "PNKD"
"1711" "478" "ATP1A3"
"1712" "8864" "PER2"
"1713" "15" "AANAT"
"1714" "114781" "BTBD9"
"1715" "3060" "HCRT"
"1716" "1453" "CSNK1D"
"1717" "627" "BDNF"
"1718" "4211" "MEIS1"
"1719" "79577" "CDC73"
"1720" "3973" "LHCGR"
"1721" "51079" "NDUFA13"
"1722" "5172" "SLC26A4"
"1723" "5741" "PTH"
"1724" "84634" "KISS1R"
"1725" "9247" "GCM2"
"1726" "2798" "GNRHR"
"1727" "26012" "NSMF"
"1728" "551" "AVP"
"1729" "7068" "THRB"
"1730" "3299" "HSF4"
"1731" "1261" "CNGA3"
"1732" "3791" "KDR"
"1733" "6247" "RS1"
"1734" "3769" "KCNJ13"
"1735" "2700" "GJA3"
"1736" "343035" "RD3"
"1737" "54714" "CNGB3"
"1738" "5309" "PITX3"
"1739" "84146" "ZNF644"
"1740" "169522" "KCNV2"
"1741" "134430" "WDR36"
"1742" "60506" "NYX"
"1743" "6785" "ELOVL4"
"1744" "2780" "GNAT2"
"1745" "4284" "MIP"
"1746" "1421" "CRYGD"
"1747" "1524" "CX3CR1"
"1748" "1409" "CRYAA"
"1749" "3664" "IRF6"
"1750" "611" "OPN1SW"
"1751" "114902" "C1QTNF5"
"1752" "220202" "ATOH7"
"1753" "83552" "MFRP"
"1754" "93589" "CACNA2D4"
"1755" "83872" "HMCN1"
"1756" "7099" "TLR4"
"1757" "1420" "CRYGC"
"1758" "5956" "OPN1LW"
"1759" "387715" "ARMS2"
"1760" "9227" "LRAT"
"1761" "7078" "TIMP3"
"1762" "4909" "NTF4"
"1763" "5149" "PDE6H"
"1764" "5925" "RB1"
"1765" "23746" "AIPL1"
"1766" "2301" "FOXE3"
"1767" "4016" "LOXL1"
"1768" "167691" "LCA5"
"1769" "5310" "PKD1"
"1770" "7225" "TRPC6"
"1771" "5076" "PAX2"
"1772" "8542" "APOL1"
"1773" "4868" "NPHS1"
"1774" "23512" "SUZ12"
"1775" "23607" "CD2AP"
"1776" "6092" "ROBO2"
"1777" "4643" "MYO1E"
"1778" "81" "ACTN4"
"1779" "5311" "PKD2"
"1780" "51196" "PLCE1"
"1781" "64423" "INF2"
"1782" "4437" "MSH3"
"1783" "2056" "EPO"
"1784" "554" "AVPR2"
"1785" "221895" "JAZF1"
"1786" "5800" "PTPRO"
"1787" "3913" "LAMB2"
"1788" "7827" "NPHS2"
"1789" "359" "AQP2"
"1790" "2321" "FLT1"
"1791" "154288" "KHDC3L"
"1792" "199713" "NLRP7"
"1793" "219736" "STOX1"
"1794" "57135" "DAZ4"
"1795" "60528" "ELAC2"
"1796" "23301" "EHBP1"
"1797" "4477" "MSMB"
"1798" "1617" "DAZ1"
"1799" "117155" "CATSPER2"
"1800" "6041" "RNASEL"
"1801" "8653" "DDX3Y"
"1802" "4601" "MXI1"
"1803" "8287" "USP9Y"
"1804" "117144" "CATSPER1"
"1805" "161497" "STRC"
"1806" "2048" "EPHB2"
"1807" "57054" "DAZ3"
"1808" "57055" "DAZ2"
"1809" "162967" "ZNF320"
"1810" "3417" "IDH1"
"1811" "55717" "WDR11"
"1812" "57670" "KIAA1549"
"1813" "57120" "GOPC"
"1814" "6098" "ROS1"
"1815" "51684" "SUFU"
"1816" "1755" "DMBT1"
"1817" "9119" "KRT75"
"1818" "1041" "CDSN"
"1819" "10161" "LPAR6"
"1820" "121391" "KRT74"
"1821" "55806" "HR"
"1822" "200879" "LIPH"
"1823" "147495" "APCDD1"
"1824" "81704" "DOCK8"
"1825" "3273" "HRG"
"1826" "1130" "LYST"
"1827" "1727" "CYB5R3"
"1828" "2057" "EPOR"
"1829" "81608" "FIP1L1"
"1830" "7297" "TYK2"
"1831" "1528" "CYB5A"
"1832" "1991" "ELANE"
"1833" "6774" "STAT3"
"1834" "79650" "USB1"
"1835" "2034" "EPAS1"
"1836" "54583" "EGLN1"
"1837" "4303" "FOXO4"
"1838" "4302" "MLLT6"
"1839" "4300" "MLLT3"
"1840" "23048" "FNBP1"
"1841" "10215" "OLIG2"
"1842" "5079" "PAX5"
"1843" "8301" "PICALM"
"1844" "28992" "MACROD1"
"1845" "348801" "LNP1"
"1846" "8028" "MLLT10"
"1847" "3131" "HLF"
"1848" "285527" "FRYL"
"1849" "10962" "MLLT11"
"1850" "56244" "BTNL2"
"1851" "6988" "TCTA"
"1852" "100272147" "CMC4"
"1853" "399" "RHOH"
"1854" "2309" "FOXO3"
"1855" "3195" "TLX1"
"1856" "2303" "FOXC2"
"1857" "89795" "NAV3"
"1858" "9258" "MFHAS1"
"1859" "2060" "EPS15"
"1860" "115761" "ARL11"
"1861" "1656" "DDX6"
"1862" "4299" "AFF1"
"1863" "694" "BTG1"
"1864" "2324" "FLT4"
"1865" "200942" "KLHDC8B"
