"ENTREZID" "SYMBOL"
"220" "55686" "MREG"
"221" "346711" "MRPL49P2"
"222" "403301" "OR7H2P"
"223" "728409" "LINC01548"
"224" "7092" "TLL1"
"225" "2152" "F3"
"226" "26957" "ABCD1P4"
"227" "401145" "CCSER1"
"228" "29851" "ICOS"
"229" "56311" "ANKRD7"
"230" "100130338" "PABPC1P9"
"231" "126969" "SLC44A3"
"232" "100147821" "RNU7-34P"
"233" "7903" "ST8SIA4"
"234" "26281" "FGF20"
"235" "1803" "DPP4"
"236" "1060" "CENPC"
"237" "3031" "HADHAP1"
"238" "286097" "MICU3"
"239" "8661" "EIF3A"
"240" "8029" "CUBN"
"241" "340895" "MALRD1"
"242" "54901" "CDKAL1"
"243" "55103" "RALGPS2"
"244" "2629" "GBA"
"245" "7305" "TYROBP"
"246" "9627" "SNCAIP"
"247" "4535" "ND1"
"248" "4536" "ND2"
"249" "54209" "TREM2"
"250" "5663" "PSEN1"
"251" "351" "APP"
"252" "5664" "PSEN2"
"253" "348" "APOE"
"254" "4973" "OLR1"
"255" "593" "BCKDHA"
"256" "2639" "GCDH"
"257" "2731" "GLDC"
"258" "2653" "GCSH"
"259" "10165" "SLC25A13"
"260" "5095" "PCCA"
"261" "3141" "HLCS"
"262" "275" "AMT"
"263" "6898" "TAT"
"264" "8546" "AP3B1"
"265" "5053" "PAH"
"266" "1738" "DLD"
"267" "79783" "SUGCT"
"268" "875" "CBS"
"269" "4948" "OCA2"
"270" "5096" "PCCB"
"271" "3257" "HPS1"
"272" "1373" "CPS1"
"273" "28976" "ACAD9"
"274" "26258" "BLOC1S6"
"275" "84343" "HPS3"
"276" "51151" "SLC45A2"
"277" "3081" "HGD"
"278" "5860" "QDPR"
"279" "388552" "BLOC1S3"
"280" "10157" "AASS"
"281" "3815" "KIT"
"282" "7299" "TYR"
"283" "5009" "OTC"
"284" "445" "ASS1"
"285" "34" "ACADM"
"286" "2110" "ETFDH"
"287" "383" "ARG1"
"288" "2184" "FAH"
"289" "7306" "TYRP1"
"290" "11234" "HPS5"
"291" "594" "BCKDHB"
